Function1,Function2,Result
payout,donate,Error: File not found
payout,donate,Error: File not found
donate,payout,Error: File not found
withdraw,donate,True
donate,withdraw,Error: File not found
donate,withdraw,Error: File not found
withdraw,donate,True
withdraw,donate,True
donate,withdraw,Error: File not found
donate,withdraw,Error: File not found
donate,withdraw,Error: File not found
donate,withdraw,Error: File not found
donate,withdraw,Error: File not found
setBeneficiary,payout,False
payout,setBeneficiary,True
payout,setBeneficiary,False
payout,setBeneficiary,False
setBeneficiary,payout,False
payout,setBeneficiary,False
setBeneficiary,payout,False
payout,setBeneficiary,False
withdraw,payout,Error: File not found
payout,withdraw,Error: File not found
