Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
setForcedRecipient,"approve(address,uint256)"
setVulnerableAmount,"transfer(address,uint256)"
setVulnerableAmount,"transferFrom(address,address,uint256)"
destroyAndPayout,"transfer(address,uint256)"
