Source Function,Target Function
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
acceptOwnership(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
acceptOwnership(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)",unpause()
burn(uint256),unpause()
acceptOwnership(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
unpause(),acceptOwnership()
"mint(address,uint256)",acceptOwnership()
burn(uint256),acceptOwnership()
pause(),acceptOwnership()
transferOwnership(address),acceptOwnership()
unpause(),pause()
"mint(address,uint256)",pause()
burn(uint256),pause()
acceptOwnership(),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
acceptOwnership(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
