Source Function,Target Function
unsellpause(),withdrawAmount(uint256)
unpause(),withdrawAmount(uint256)
renounceOwnership(),withdrawAmount(uint256)
pause(),withdrawAmount(uint256)
setExchangeRate(uint256),withdrawAmount(uint256)
sellpause(),withdrawAmount(uint256)
transferOwnership(address),withdrawAmount(uint256)
unsellpause(),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
renounceOwnership(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
setExchangeRate(uint256),"approve(address,uint256)"
sellpause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unsellpause(),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
renounceOwnership(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
setExchangeRate(uint256),"transferFrom(address,address,uint256)"
sellpause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unpause(),unsellpause()
renounceOwnership(),unsellpause()
pause(),unsellpause()
setExchangeRate(uint256),unsellpause()
sellpause(),unsellpause()
transferOwnership(address),unsellpause()
unsellpause(),unpause()
renounceOwnership(),unpause()
pause(),unpause()
setExchangeRate(uint256),unpause()
sellpause(),unpause()
transferOwnership(address),unpause()
unsellpause(),"decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
renounceOwnership(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
setExchangeRate(uint256),"decreaseApproval(address,uint256)"
sellpause(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
unsellpause(),renounceOwnership()
unpause(),renounceOwnership()
pause(),renounceOwnership()
setExchangeRate(uint256),renounceOwnership()
sellpause(),renounceOwnership()
transferOwnership(address),renounceOwnership()
unsellpause(),pause()
unpause(),pause()
renounceOwnership(),pause()
setExchangeRate(uint256),pause()
sellpause(),pause()
transferOwnership(address),pause()
unsellpause(),withdrawAll()
unpause(),withdrawAll()
renounceOwnership(),withdrawAll()
pause(),withdrawAll()
setExchangeRate(uint256),withdrawAll()
sellpause(),withdrawAll()
transferOwnership(address),withdrawAll()
unsellpause(),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
renounceOwnership(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
setExchangeRate(uint256),"transfer(address,uint256)"
sellpause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unsellpause(),"increaseApproval(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
renounceOwnership(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
setExchangeRate(uint256),"increaseApproval(address,uint256)"
sellpause(),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
unsellpause(),setExchangeRate(uint256)
unpause(),setExchangeRate(uint256)
renounceOwnership(),setExchangeRate(uint256)
pause(),setExchangeRate(uint256)
sellpause(),setExchangeRate(uint256)
transferOwnership(address),setExchangeRate(uint256)
unsellpause(),sellpause()
unpause(),sellpause()
renounceOwnership(),sellpause()
pause(),sellpause()
setExchangeRate(uint256),sellpause()
transferOwnership(address),sellpause()
unsellpause(),transferOwnership(address)
unpause(),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
pause(),transferOwnership(address)
setExchangeRate(uint256),transferOwnership(address)
sellpause(),transferOwnership(address)
