Source Function,Target Function
"approve(address,uint256)",redeemExcluded(bytes32)
"transferFrom(address,address,uint256)",redeemExcluded(bytes32)
"decreaseApproval(address,uint256)",redeemExcluded(bytes32)
"transfer(address,uint256)",redeemExcluded(bytes32)
"partialRedeem(uint256,bytes32)",redeemExcluded(bytes32)
issue(uint256),redeemExcluded(bytes32)
"increaseApproval(address,uint256)",redeemExcluded(bytes32)
"approve(address,uint256)","transferFrom(address,address,uint256)"
redeemExcluded(bytes32),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"partialRedeem(uint256,bytes32)","transferFrom(address,address,uint256)"
issue(uint256),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
redeemExcluded(bytes32),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"partialRedeem(uint256,bytes32)","transfer(address,uint256)"
issue(uint256),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)","partialRedeem(uint256,bytes32)"
redeemExcluded(bytes32),"partialRedeem(uint256,bytes32)"
"transferFrom(address,address,uint256)","partialRedeem(uint256,bytes32)"
"decreaseApproval(address,uint256)","partialRedeem(uint256,bytes32)"
"transfer(address,uint256)","partialRedeem(uint256,bytes32)"
issue(uint256),"partialRedeem(uint256,bytes32)"
"increaseApproval(address,uint256)","partialRedeem(uint256,bytes32)"
"approve(address,uint256)",redeem(uint256)
redeemExcluded(bytes32),redeem(uint256)
"transferFrom(address,address,uint256)",redeem(uint256)
"decreaseApproval(address,uint256)",redeem(uint256)
"transfer(address,uint256)",redeem(uint256)
"partialRedeem(uint256,bytes32)",redeem(uint256)
issue(uint256),redeem(uint256)
"increaseApproval(address,uint256)",redeem(uint256)
