Source Function,Target Function
"approve(address,uint256)","close(bytes32,bytes32)"
"open(address,bytes32,uint256,uint256)","close(bytes32,bytes32)"
refund(bytes32),"close(bytes32,bytes32)"
addTrustedContracts(address[]),"close(bytes32,bytes32)"
"setApprovalForAll(address,bool)","close(bytes32,bytes32)"
removeTrustedContract(address),"close(bytes32,bytes32)"
"transferBatch(address,address,uint256[])","close(bytes32,bytes32)"
addTrustedContract(address),"close(bytes32,bytes32)"
"createPromotionGirl(uint256[],address,uint16)",transferOwnership(address)
unpause(),transferOwnership(address)
"createGirl(uint256,address,uint16)",transferOwnership(address)
pause(),transferOwnership(address)
transferOwnership(address),"createPromotionGirl(uint256[],address,uint16)"
unpause(),"createPromotionGirl(uint256[],address,uint16)"
"createGirl(uint256,address,uint16)","createPromotionGirl(uint256[],address,uint16)"
pause(),"createPromotionGirl(uint256[],address,uint16)"
"close(bytes32,bytes32)","approve(address,uint256)"
"open(address,bytes32,uint256,uint256)","approve(address,uint256)"
refund(bytes32),"approve(address,uint256)"
addTrustedContracts(address[]),"approve(address,uint256)"
"setApprovalForAll(address,bool)","approve(address,uint256)"
removeTrustedContract(address),"approve(address,uint256)"
"transferBatch(address,address,uint256[])","approve(address,uint256)"
addTrustedContract(address),"approve(address,uint256)"
"close(bytes32,bytes32)","open(address,bytes32,uint256,uint256)"
"approve(address,uint256)","open(address,bytes32,uint256,uint256)"
refund(bytes32),"open(address,bytes32,uint256,uint256)"
addTrustedContracts(address[]),"open(address,bytes32,uint256,uint256)"
"setApprovalForAll(address,bool)","open(address,bytes32,uint256,uint256)"
removeTrustedContract(address),"open(address,bytes32,uint256,uint256)"
"transferBatch(address,address,uint256[])","open(address,bytes32,uint256,uint256)"
addTrustedContract(address),"open(address,bytes32,uint256,uint256)"
"close(bytes32,bytes32)",levelUp(uint256)
"approve(address,uint256)",levelUp(uint256)
"open(address,bytes32,uint256,uint256)",levelUp(uint256)
refund(bytes32),levelUp(uint256)
addTrustedContracts(address[]),levelUp(uint256)
"setApprovalForAll(address,bool)",levelUp(uint256)
removeTrustedContract(address),levelUp(uint256)
"transferBatch(address,address,uint256[])",levelUp(uint256)
addTrustedContract(address),levelUp(uint256)
"createPromotionGirl(uint256[],address,uint16)",levelUp(uint256)
"createGirl(uint256,address,uint16)",levelUp(uint256)
"setCoolDownTime(uint256,uint256)",levelUp(uint256)
transferOwnership(address),unpause()
"createPromotionGirl(uint256[],address,uint16)",unpause()
"createGirl(uint256,address,uint16)",unpause()
pause(),unpause()
"close(bytes32,bytes32)","createGirl(uint256,address,uint16)"
"approve(address,uint256)","createGirl(uint256,address,uint16)"
"open(address,bytes32,uint256,uint256)","createGirl(uint256,address,uint16)"
refund(bytes32),"createGirl(uint256,address,uint16)"
addTrustedContracts(address[]),"createGirl(uint256,address,uint16)"
"setApprovalForAll(address,bool)","createGirl(uint256,address,uint16)"
removeTrustedContract(address),"createGirl(uint256,address,uint16)"
"transferBatch(address,address,uint256[])","createGirl(uint256,address,uint16)"
addTrustedContract(address),"createGirl(uint256,address,uint16)"
"close(bytes32,bytes32)",ownerOf(uint256)
"approve(address,uint256)",ownerOf(uint256)
"open(address,bytes32,uint256,uint256)",ownerOf(uint256)
refund(bytes32),ownerOf(uint256)
addTrustedContracts(address[]),ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
removeTrustedContract(address),ownerOf(uint256)
"transferBatch(address,address,uint256[])",ownerOf(uint256)
addTrustedContract(address),ownerOf(uint256)
"close(bytes32,bytes32)",refund(bytes32)
"approve(address,uint256)",refund(bytes32)
"open(address,bytes32,uint256,uint256)",refund(bytes32)
addTrustedContracts(address[]),refund(bytes32)
"setApprovalForAll(address,bool)",refund(bytes32)
removeTrustedContract(address),refund(bytes32)
"transferBatch(address,address,uint256[])",refund(bytes32)
addTrustedContract(address),refund(bytes32)
transferOwnership(address),pause()
"createPromotionGirl(uint256[],address,uint16)",pause()
unpause(),pause()
"createGirl(uint256,address,uint16)",pause()
transferOwnership(address),addTrustedContracts(address[])
"createPromotionGirl(uint256[],address,uint16)",addTrustedContracts(address[])
unpause(),addTrustedContracts(address[])
"createGirl(uint256,address,uint16)",addTrustedContracts(address[])
pause(),addTrustedContracts(address[])
"close(bytes32,bytes32)",addTrustedContracts(address[])
"approve(address,uint256)",addTrustedContracts(address[])
"open(address,bytes32,uint256,uint256)",addTrustedContracts(address[])
refund(bytes32),addTrustedContracts(address[])
"setApprovalForAll(address,bool)",addTrustedContracts(address[])
removeTrustedContract(address),addTrustedContracts(address[])
"transferBatch(address,address,uint256[])",addTrustedContracts(address[])
addTrustedContract(address),addTrustedContracts(address[])
"close(bytes32,bytes32)","setCoolDownTime(uint256,uint256)"
