Source Function,Target Function
mint(),dissalowFreezing(address)
allowMinting(),dissalowFreezing(address)
burn(uint256),dissalowFreezing(address)
"airdropToken(address[],uint256[])",dissalowFreezing(address)
finishAirdrops(),dissalowFreezing(address)
transferOwnership(address),dissalowFreezing(address)
freezeTokens(uint256),dissalowFreezing(address)
"transfer(address,uint256)",dissalowFreezing(address)
allowFreezing(address),dissalowFreezing(address)
unfreezeTokens(uint256),dissalowFreezing(address)
allowMinting(),mint()
burn(uint256),mint()
"airdropToken(address[],uint256[])",mint()
finishAirdrops(),mint()
transferOwnership(address),mint()
mint(),allowMinting()
burn(uint256),allowMinting()
"airdropToken(address[],uint256[])",allowMinting()
finishAirdrops(),allowMinting()
transferOwnership(address),allowMinting()
mint(),burn(uint256)
allowMinting(),burn(uint256)
"airdropToken(address[],uint256[])",burn(uint256)
finishAirdrops(),burn(uint256)
transferOwnership(address),burn(uint256)
mint(),"airdropToken(address[],uint256[])"
allowMinting(),"airdropToken(address[],uint256[])"
burn(uint256),"airdropToken(address[],uint256[])"
finishAirdrops(),"airdropToken(address[],uint256[])"
transferOwnership(address),"airdropToken(address[],uint256[])"
dissalowFreezing(address),freezeTokens(uint256)
mint(),freezeTokens(uint256)
burn(uint256),freezeTokens(uint256)
"transfer(address,uint256)",freezeTokens(uint256)
allowFreezing(address),freezeTokens(uint256)
unfreezeTokens(uint256),freezeTokens(uint256)
transferOwnership(address),freezeTokens(uint256)
mint(),finishAirdrops()
allowMinting(),finishAirdrops()
burn(uint256),finishAirdrops()
"airdropToken(address[],uint256[])",finishAirdrops()
transferOwnership(address),finishAirdrops()
mint(),allowFreezing(address)
allowMinting(),allowFreezing(address)
burn(uint256),allowFreezing(address)
"airdropToken(address[],uint256[])",allowFreezing(address)
finishAirdrops(),allowFreezing(address)
transferOwnership(address),allowFreezing(address)
dissalowFreezing(address),allowFreezing(address)
freezeTokens(uint256),allowFreezing(address)
"transfer(address,uint256)",allowFreezing(address)
unfreezeTokens(uint256),allowFreezing(address)
