Source Function,Target Function
"forceRecoverCollateralOnBehalfOf(address,bytes32,address)",renounceOwnership()
"deposit(address,uint256)",renounceOwnership()
"receiveLoanOwnership(address,bytes32)",renounceOwnership()
"increaseLoanOnBehalfOf(address,bytes32,uint256,uint256)",renounceOwnership()
"cancelMarginCallOnBehalfOf(address,bytes32)",renounceOwnership()
"marginCallOnBehalfOf(address,bytes32,uint256)",renounceOwnership()
rebalanceBuckets(),renounceOwnership()
"verifyLoanOffering(address[9],uint256[7],uint32[4],bytes32,bytes)",renounceOwnership()
transferOwnership(address),renounceOwnership()
"forceRecoverCollateralOnBehalfOf(address,bytes32,address)","withdrawExcessToken(address,address)"
"deposit(address,uint256)","withdrawExcessToken(address,address)"
"receiveLoanOwnership(address,bytes32)","withdrawExcessToken(address,address)"
"increaseLoanOnBehalfOf(address,bytes32,uint256,uint256)","withdrawExcessToken(address,address)"
renounceOwnership(),"withdrawExcessToken(address,address)"
"cancelMarginCallOnBehalfOf(address,bytes32)","withdrawExcessToken(address,address)"
"marginCallOnBehalfOf(address,bytes32,uint256)","withdrawExcessToken(address,address)"
rebalanceBuckets(),"withdrawExcessToken(address,address)"
"verifyLoanOffering(address[9],uint256[7],uint32[4],bytes32,bytes)","withdrawExcessToken(address,address)"
transferOwnership(address),"withdrawExcessToken(address,address)"
"deposit(address,uint256)","cancelMarginCallOnBehalfOf(address,bytes32)"
"receiveLoanOwnership(address,bytes32)","cancelMarginCallOnBehalfOf(address,bytes32)"
"deposit(address,uint256)","marginCallOnBehalfOf(address,bytes32,uint256)"
"receiveLoanOwnership(address,bytes32)","marginCallOnBehalfOf(address,bytes32,uint256)"
"forceRecoverCollateralOnBehalfOf(address,bytes32,address)",transferOwnership(address)
"deposit(address,uint256)",transferOwnership(address)
"receiveLoanOwnership(address,bytes32)",transferOwnership(address)
"increaseLoanOnBehalfOf(address,bytes32,uint256,uint256)",transferOwnership(address)
renounceOwnership(),transferOwnership(address)
"cancelMarginCallOnBehalfOf(address,bytes32)",transferOwnership(address)
"marginCallOnBehalfOf(address,bytes32,uint256)",transferOwnership(address)
rebalanceBuckets(),transferOwnership(address)
"verifyLoanOffering(address[9],uint256[7],uint32[4],bytes32,bytes)",transferOwnership(address)
