Source Function,Target Function
populateFromOldContract(uint256[]),"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])"
"approve(address,uint256)","createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])"
withdrawRent(address),"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])"
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)","createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])"
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])",populateFromOldContract(uint256[])
"approve(address,uint256)",populateFromOldContract(uint256[])
withdrawRent(address),populateFromOldContract(uint256[])
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)",populateFromOldContract(uint256[])
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])","approve(address,uint256)"
populateFromOldContract(uint256[]),"approve(address,uint256)"
withdrawRent(address),"approve(address,uint256)"
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)","approve(address,uint256)"
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])",withdrawRent(address)
populateFromOldContract(uint256[]),withdrawRent(address)
"approve(address,uint256)",withdrawRent(address)
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)",withdrawRent(address)
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])",ownerOf(uint256)
populateFromOldContract(uint256[]),ownerOf(uint256)
"approve(address,uint256)",ownerOf(uint256)
withdrawRent(address),ownerOf(uint256)
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)",ownerOf(uint256)
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])","createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)"
populateFromOldContract(uint256[]),"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)"
"approve(address,uint256)","createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)"
withdrawRent(address),"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)"
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])","transfer(address,uint256)"
populateFromOldContract(uint256[]),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
withdrawRent(address),"transfer(address,uint256)"
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)","transfer(address,uint256)"
"createMultiple(uint256[],uint256[],uint256[],uint256[],uint8[],uint256[],address[])",takeOwnership(uint256)
populateFromOldContract(uint256[]),takeOwnership(uint256)
"approve(address,uint256)",takeOwnership(uint256)
withdrawRent(address),takeOwnership(uint256)
"createToken(uint256,uint256,uint256,uint256,uint8,uint256,address)",takeOwnership(uint256)
