Source Function,Target Function
mintNewDrawings(uint256),flipSwitchTo(bool)
flipSwitchTo(bool),"transfer(address,uint256,uint256)"
mintNewDrawings(uint256),"transfer(address,uint256,uint256)"
"buyCollectible(uint256,uint256)","transfer(address,uint256,uint256)"
"acceptBidForCollectible(uint256,uint256,uint256)","transfer(address,uint256,uint256)"
withdraw(),"transfer(address,uint256,uint256)"
"offerCollectibleForSaleToAddress(uint256,uint256,uint256,address)","transfer(address,uint256,uint256)"
"enterBidForCollectible(uint256,uint256)","transfer(address,uint256,uint256)"
"alt_buyCollectible(uint256,uint256)","transfer(address,uint256,uint256)"
"withdrawOfferForCollectible(uint256,uint256)","transfer(address,uint256,uint256)"
"newCollectible(uint256,string,uint256,uint256,uint256,string,uint256,string)","transfer(address,uint256,uint256)"
"offerCollectibleForSale(uint256,uint256,uint256)","transfer(address,uint256,uint256)"
"withdrawBidForCollectible(uint256,uint256)","transfer(address,uint256,uint256)"
flipSwitchTo(bool),"buyCollectible(uint256,uint256)"
mintNewDrawings(uint256),"buyCollectible(uint256,uint256)"
"transfer(address,uint256,uint256)","buyCollectible(uint256,uint256)"
"acceptBidForCollectible(uint256,uint256,uint256)","buyCollectible(uint256,uint256)"
withdraw(),"buyCollectible(uint256,uint256)"
"offerCollectibleForSaleToAddress(uint256,uint256,uint256,address)","buyCollectible(uint256,uint256)"
"enterBidForCollectible(uint256,uint256)","buyCollectible(uint256,uint256)"
"alt_buyCollectible(uint256,uint256)","buyCollectible(uint256,uint256)"
"withdrawOfferForCollectible(uint256,uint256)","buyCollectible(uint256,uint256)"
"newCollectible(uint256,string,uint256,uint256,uint256,string,uint256,string)","buyCollectible(uint256,uint256)"
"offerCollectibleForSale(uint256,uint256,uint256)","buyCollectible(uint256,uint256)"
"withdrawBidForCollectible(uint256,uint256)","buyCollectible(uint256,uint256)"
flipSwitchTo(bool),"acceptBidForCollectible(uint256,uint256,uint256)"
mintNewDrawings(uint256),"acceptBidForCollectible(uint256,uint256,uint256)"
"transfer(address,uint256,uint256)","acceptBidForCollectible(uint256,uint256,uint256)"
"buyCollectible(uint256,uint256)","acceptBidForCollectible(uint256,uint256,uint256)"
withdraw(),"acceptBidForCollectible(uint256,uint256,uint256)"
"offerCollectibleForSaleToAddress(uint256,uint256,uint256,address)","acceptBidForCollectible(uint256,uint256,uint256)"
"enterBidForCollectible(uint256,uint256)","acceptBidForCollectible(uint256,uint256,uint256)"
"alt_buyCollectible(uint256,uint256)","acceptBidForCollectible(uint256,uint256,uint256)"
"withdrawOfferForCollectible(uint256,uint256)","acceptBidForCollectible(uint256,uint256,uint256)"
"newCollectible(uint256,string,uint256,uint256,uint256,string,uint256,string)","acceptBidForCollectible(uint256,uint256,uint256)"
