Source Function,Target Function
redeemPlpPoints(),"claimPrize(uint8,bytes32,bytes32,uint256)"
withdraw(),"claimPrize(uint8,bytes32,bytes32,uint256)"
buyTicket(),"claimPrize(uint8,bytes32,bytes32,uint256)"
withdraw(),redeemPlpPoints()
buyTicket(),redeemPlpPoints()
lock(),setToken(address)
setToken(address),killContract()
lock(),killContract()
redeemPlpPoints(),withdraw()
buyTicket(),withdraw()
redeemPlpPoints(),"claimAbondonedPrize(uint8,bytes32,bytes32,uint256)"
withdraw(),"claimAbondonedPrize(uint8,bytes32,bytes32,uint256)"
buyTicket(),"claimAbondonedPrize(uint8,bytes32,bytes32,uint256)"
redeemPlpPoints(),buyTicket()
withdraw(),buyTicket()
