Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"setBonus(uint256,uint256)",changeSwitchTime(uint256)
setOwner(address),changeSwitchTime(uint256)
"manualTransfer(address,uint256,address)",changeSwitchTime(uint256)
changeEndTime(uint256),changeSwitchTime(uint256)
resumeSale(),changeSwitchTime(uint256)
endSale(),changeSwitchTime(uint256)
unpause(),changeSwitchTime(uint256)
"setRate(uint256,uint256)",changeSwitchTime(uint256)
pause(),changeSwitchTime(uint256)
"setMinInvestment(uint256,uint256)",changeSwitchTime(uint256)
changeStartTime(uint256),changeSwitchTime(uint256)
setWallet(address),changeSwitchTime(uint256)
envokeTokenAllocation(),changeSwitchTime(uint256)
"setBonus(uint256,uint256)",changeStartTime(uint256)
setOwner(address),changeStartTime(uint256)
"manualTransfer(address,uint256,address)",changeStartTime(uint256)
changeEndTime(uint256),changeStartTime(uint256)
resumeSale(),changeStartTime(uint256)
endSale(),changeStartTime(uint256)
unpause(),changeStartTime(uint256)
"setRate(uint256,uint256)",changeStartTime(uint256)
changeSwitchTime(uint256),changeStartTime(uint256)
pause(),changeStartTime(uint256)
"setMinInvestment(uint256,uint256)",changeStartTime(uint256)
setWallet(address),changeStartTime(uint256)
envokeTokenAllocation(),changeStartTime(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
