Source Function,Target Function
withdraw(),catNoLongerForSale(uint256)
"updateCatReleasePrice(uint32,uint256)",catNoLongerForSale(uint256)
getCat(uint256),catNoLongerForSale(uint256)
"offerCatForSaleToAddress(uint256,uint256,address)",catNoLongerForSale(uint256)
"setCatAttributeValue(uint256,uint256,string)",catNoLongerForSale(uint256)
"releaseCats(uint32,uint256,uint256,string)",catNoLongerForSale(uint256)
"migrateCatOwnersFromPreviousContract(uint256,uint256)",catNoLongerForSale(uint256)
"setAttributeType(uint256,string)",catNoLongerForSale(uint256)
"transfer(address,uint256)",catNoLongerForSale(uint256)
"setCatPrice(uint256,uint256)",catNoLongerForSale(uint256)
buyCat(uint256),catNoLongerForSale(uint256)
"offerCatForSale(uint256,uint256)",catNoLongerForSale(uint256)
catNoLongerForSale(uint256),withdraw()
"updateCatReleasePrice(uint32,uint256)",withdraw()
getCat(uint256),withdraw()
"offerCatForSaleToAddress(uint256,uint256,address)",withdraw()
"setCatAttributeValue(uint256,uint256,string)",withdraw()
"releaseCats(uint32,uint256,uint256,string)",withdraw()
"migrateCatOwnersFromPreviousContract(uint256,uint256)",withdraw()
"setAttributeType(uint256,string)",withdraw()
"transfer(address,uint256)",withdraw()
"setCatPrice(uint256,uint256)",withdraw()
buyCat(uint256),withdraw()
"offerCatForSale(uint256,uint256)",withdraw()
"releaseCats(uint32,uint256,uint256,string)",getCat(uint256)
"migrateCatOwnersFromPreviousContract(uint256,uint256)",getCat(uint256)
lockTotalSupply(),getCat(uint256)
catNoLongerForSale(uint256),getCat(uint256)
withdraw(),getCat(uint256)
"updateCatReleasePrice(uint32,uint256)",getCat(uint256)
"offerCatForSaleToAddress(uint256,uint256,address)",getCat(uint256)
"setCatAttributeValue(uint256,uint256,string)",getCat(uint256)
"setAttributeType(uint256,string)",getCat(uint256)
"transfer(address,uint256)",getCat(uint256)
"setCatPrice(uint256,uint256)",getCat(uint256)
buyCat(uint256),getCat(uint256)
"offerCatForSale(uint256,uint256)",getCat(uint256)
catNoLongerForSale(uint256),"offerCatForSaleToAddress(uint256,uint256,address)"
withdraw(),"offerCatForSaleToAddress(uint256,uint256,address)"
"updateCatReleasePrice(uint32,uint256)","offerCatForSaleToAddress(uint256,uint256,address)"
getCat(uint256),"offerCatForSaleToAddress(uint256,uint256,address)"
"setCatAttributeValue(uint256,uint256,string)","offerCatForSaleToAddress(uint256,uint256,address)"
"releaseCats(uint32,uint256,uint256,string)","offerCatForSaleToAddress(uint256,uint256,address)"
"migrateCatOwnersFromPreviousContract(uint256,uint256)","offerCatForSaleToAddress(uint256,uint256,address)"
"setAttributeType(uint256,string)","offerCatForSaleToAddress(uint256,uint256,address)"
"transfer(address,uint256)","offerCatForSaleToAddress(uint256,uint256,address)"
"setCatPrice(uint256,uint256)","offerCatForSaleToAddress(uint256,uint256,address)"
buyCat(uint256),"offerCatForSaleToAddress(uint256,uint256,address)"
"offerCatForSale(uint256,uint256)","offerCatForSaleToAddress(uint256,uint256,address)"
catNoLongerForSale(uint256),"setCatAttributeValue(uint256,uint256,string)"
withdraw(),"setCatAttributeValue(uint256,uint256,string)"
"updateCatReleasePrice(uint32,uint256)","setCatAttributeValue(uint256,uint256,string)"
getCat(uint256),"setCatAttributeValue(uint256,uint256,string)"
"offerCatForSaleToAddress(uint256,uint256,address)","setCatAttributeValue(uint256,uint256,string)"
"releaseCats(uint32,uint256,uint256,string)","setCatAttributeValue(uint256,uint256,string)"
"migrateCatOwnersFromPreviousContract(uint256,uint256)","setCatAttributeValue(uint256,uint256,string)"
"setAttributeType(uint256,string)","setCatAttributeValue(uint256,uint256,string)"
"transfer(address,uint256)","setCatAttributeValue(uint256,uint256,string)"
"setCatPrice(uint256,uint256)","setCatAttributeValue(uint256,uint256,string)"
buyCat(uint256),"setCatAttributeValue(uint256,uint256,string)"
"offerCatForSale(uint256,uint256)","setCatAttributeValue(uint256,uint256,string)"
catNoLongerForSale(uint256),balanceOf(address)
withdraw(),balanceOf(address)
"updateCatReleasePrice(uint32,uint256)",balanceOf(address)
getCat(uint256),balanceOf(address)
"offerCatForSaleToAddress(uint256,uint256,address)",balanceOf(address)
"setCatAttributeValue(uint256,uint256,string)",balanceOf(address)
"releaseCats(uint32,uint256,uint256,string)",balanceOf(address)
"migrateCatOwnersFromPreviousContract(uint256,uint256)",balanceOf(address)
"setAttributeType(uint256,string)",balanceOf(address)
"transfer(address,uint256)",balanceOf(address)
"setCatPrice(uint256,uint256)",balanceOf(address)
buyCat(uint256),balanceOf(address)
"offerCatForSale(uint256,uint256)",balanceOf(address)
getCat(uint256),"releaseCats(uint32,uint256,uint256,string)"
"migrateCatOwnersFromPreviousContract(uint256,uint256)","releaseCats(uint32,uint256,uint256,string)"
lockTotalSupply(),"releaseCats(uint32,uint256,uint256,string)"
catNoLongerForSale(uint256),"migrateCatOwnersFromPreviousContract(uint256,uint256)"
withdraw(),"migrateCatOwnersFromPreviousContract(uint256,uint256)"
"updateCatReleasePrice(uint32,uint256)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
getCat(uint256),"migrateCatOwnersFromPreviousContract(uint256,uint256)"
"offerCatForSaleToAddress(uint256,uint256,address)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
"setCatAttributeValue(uint256,uint256,string)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
"releaseCats(uint32,uint256,uint256,string)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
"setAttributeType(uint256,string)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
"transfer(address,uint256)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
"setCatPrice(uint256,uint256)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
buyCat(uint256),"migrateCatOwnersFromPreviousContract(uint256,uint256)"
"offerCatForSale(uint256,uint256)","migrateCatOwnersFromPreviousContract(uint256,uint256)"
catNoLongerForSale(uint256),getCatOwner(uint256)
withdraw(),getCatOwner(uint256)
"updateCatReleasePrice(uint32,uint256)",getCatOwner(uint256)
getCat(uint256),getCatOwner(uint256)
"offerCatForSaleToAddress(uint256,uint256,address)",getCatOwner(uint256)
"setCatAttributeValue(uint256,uint256,string)",getCatOwner(uint256)
"releaseCats(uint32,uint256,uint256,string)",getCatOwner(uint256)
"migrateCatOwnersFromPreviousContract(uint256,uint256)",getCatOwner(uint256)
"setAttributeType(uint256,string)",getCatOwner(uint256)
"transfer(address,uint256)",getCatOwner(uint256)
"setCatPrice(uint256,uint256)",getCatOwner(uint256)
buyCat(uint256),getCatOwner(uint256)
"offerCatForSale(uint256,uint256)",getCatOwner(uint256)
catNoLongerForSale(uint256),buyCat(uint256)
withdraw(),buyCat(uint256)
"updateCatReleasePrice(uint32,uint256)",buyCat(uint256)
getCat(uint256),buyCat(uint256)
"offerCatForSaleToAddress(uint256,uint256,address)",buyCat(uint256)
"setCatAttributeValue(uint256,uint256,string)",buyCat(uint256)
"releaseCats(uint32,uint256,uint256,string)",buyCat(uint256)
"migrateCatOwnersFromPreviousContract(uint256,uint256)",buyCat(uint256)
"setAttributeType(uint256,string)",buyCat(uint256)
"transfer(address,uint256)",buyCat(uint256)
"setCatPrice(uint256,uint256)",buyCat(uint256)
"offerCatForSale(uint256,uint256)",buyCat(uint256)
catNoLongerForSale(uint256),"offerCatForSale(uint256,uint256)"
withdraw(),"offerCatForSale(uint256,uint256)"
