Source Function,Target Function
setReleaseAgent(address),"setTransferAgent(address,bool)"
burn(uint256),"setTransferAgent(address,bool)"
releaseTokenTransfer(),"setTransferAgent(address,bool)"
transferOwnership(address),"setTransferAgent(address,bool)"
"setTransferAgent(address,bool)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),setReleaseAgent(address)
releaseTokenTransfer(),setReleaseAgent(address)
transferOwnership(address),setReleaseAgent(address)
"setTransferAgent(address,bool)",burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"setTransferAgent(address,bool)","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
setReleaseAgent(address),transferOwnership(address)
burn(uint256),transferOwnership(address)
releaseTokenTransfer(),transferOwnership(address)
