Source Function,Target Function
setTotle(address),unpause()
renounceOwnership(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
setTotle(address),"getAmountToGive((address,address[11],address,uint256,uint256,uint256))"
unpause(),"getAmountToGive((address,address[11],address,uint256,uint256,uint256))"
renounceOwnership(),"getAmountToGive((address,address[11],address,uint256,uint256,uint256))"
pause(),"getAmountToGive((address,address[11],address,uint256,uint256,uint256))"
transferOwnership(address),"getAmountToGive((address,address[11],address,uint256,uint256,uint256))"
setTotle(address),"performSellOrder(bytes,uint256)"
unpause(),"performSellOrder(bytes,uint256)"
renounceOwnership(),"performSellOrder(bytes,uint256)"
pause(),"performSellOrder(bytes,uint256)"
transferOwnership(address),"performSellOrder(bytes,uint256)"
setTotle(address),"performSellOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
unpause(),"performSellOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
renounceOwnership(),"performSellOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
pause(),"performSellOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
transferOwnership(address),"performSellOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
setTotle(address),pause()
unpause(),pause()
renounceOwnership(),pause()
transferOwnership(address),pause()
setTotle(address),"performBuyOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
unpause(),"performBuyOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
renounceOwnership(),"performBuyOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
pause(),"performBuyOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
transferOwnership(address),"performBuyOrder((address,address[11],address,uint256,uint256,uint256),uint256)"
setTotle(address),getAmountToGive(bytes)
unpause(),getAmountToGive(bytes)
renounceOwnership(),getAmountToGive(bytes)
pause(),getAmountToGive(bytes)
transferOwnership(address),getAmountToGive(bytes)
setTotle(address),staticExchangeChecks(bytes)
unpause(),staticExchangeChecks(bytes)
renounceOwnership(),staticExchangeChecks(bytes)
pause(),staticExchangeChecks(bytes)
transferOwnership(address),staticExchangeChecks(bytes)
setTotle(address),"performBuyOrder(bytes,uint256)"
unpause(),"performBuyOrder(bytes,uint256)"
renounceOwnership(),"performBuyOrder(bytes,uint256)"
pause(),"performBuyOrder(bytes,uint256)"
transferOwnership(address),"performBuyOrder(bytes,uint256)"
setTotle(address),"staticExchangeChecks((address,address[11],address,uint256,uint256,uint256))"
unpause(),"staticExchangeChecks((address,address[11],address,uint256,uint256,uint256))"
renounceOwnership(),"staticExchangeChecks((address,address[11],address,uint256,uint256,uint256))"
pause(),"staticExchangeChecks((address,address[11],address,uint256,uint256,uint256))"
transferOwnership(address),"staticExchangeChecks((address,address[11],address,uint256,uint256,uint256))"
