Source Function,Target Function
"__callback(bytes32,string,bytes)","__callback(bytes32,string)"
playerWithdrawPendingTransactions(),"__callback(bytes32,string)"
playerRollDice(uint256),"__callback(bytes32,string)"
"__callback(bytes32,string)","__callback(bytes32,string,bytes)"
playerWithdrawPendingTransactions(),"__callback(bytes32,string,bytes)"
playerRollDice(uint256),"__callback(bytes32,string,bytes)"
ownerSetHouseEdge(uint256),playerRollDice(uint256)
"__callback(bytes32,string)",playerRollDice(uint256)
ownerSetTreasury(address),playerRollDice(uint256)
"__callback(bytes32,string,bytes)",playerRollDice(uint256)
ownerUpdateContractBalance(uint256),playerRollDice(uint256)
ownerPausePayouts(bool),playerRollDice(uint256)
ownerChangeOwner(address),playerRollDice(uint256)
ownerSetMaxProfitAsPercentOfHouse(uint256),playerRollDice(uint256)
ownerSetMinBet(uint256),playerRollDice(uint256)
ownerPauseGame(bool),playerRollDice(uint256)
"ownerTransferEther(address,uint256)",playerRollDice(uint256)
sendFunds(),playerRollDice(uint256)
"ownerRefundPlayer(bytes32,address,uint256,uint256)",playerRollDice(uint256)
ownerSetOraclizeSafeGas(uint32),playerRollDice(uint256)
