Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"freezeAddress(address,bool)","transferFrom(address,address,uint256)"
"issue(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"issue(address,uint256)","freezeAddress(address,bool)"
transferOwnerShip(address),"freezeAddress(address,bool)"
transferOwnerShip(address),"issue(address,uint256)"
"issue(address,uint256)",transferOwnerShip(address)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"freezeAddress(address,bool)","transfer(address,uint256)"
"issue(address,uint256)","transfer(address,uint256)"
