Source Function,Target Function
updateRegistry(address),"transferDomainOwnership(bytes32,address)"
lockDomainOwnershipTransfers(),"transferDomainOwnership(bytes32,address)"
transferContractOwnership(address),"transferDomainOwnership(bytes32,address)"
updateResolver(address),"transferDomainOwnership(bytes32,address)"
updateRegistry(address),lockDomainOwnershipTransfers()
transferContractOwnership(address),lockDomainOwnershipTransfers()
updateResolver(address),lockDomainOwnershipTransfers()
updateRegistry(address),"newSubdomain(string,string,string,address,address)"
lockDomainOwnershipTransfers(),"newSubdomain(string,string,string,address,address)"
transferContractOwnership(address),"newSubdomain(string,string,string,address,address)"
updateResolver(address),"newSubdomain(string,string,string,address,address)"
updateRegistry(address),updateResolver(address)
lockDomainOwnershipTransfers(),updateResolver(address)
transferContractOwnership(address),updateResolver(address)
