Source Function,Target Function
setOwner(address),addMinterConfirm(uint256)
setOwnerConfirm(uint256),addMinterConfirm(uint256)
finishMintingConfirm(uint256),addMinterConfirm(uint256)
"mint(address,uint256)",addMinterConfirm(uint256)
mintConfirm(uint256),addMinterConfirm(uint256)
deleteMinterConfirm(uint256),addMinterConfirm(uint256)
finishMinting(),addMinterConfirm(uint256)
addMinter(address),addMinterConfirm(uint256)
deleteMinter(address),addMinterConfirm(uint256)
setOwner(address),setOwnerConfirm(uint256)
addMinterConfirm(uint256),setOwnerConfirm(uint256)
finishMintingConfirm(uint256),setOwnerConfirm(uint256)
"mint(address,uint256)",setOwnerConfirm(uint256)
mintConfirm(uint256),setOwnerConfirm(uint256)
deleteMinterConfirm(uint256),setOwnerConfirm(uint256)
finishMinting(),setOwnerConfirm(uint256)
addMinter(address),setOwnerConfirm(uint256)
deleteMinter(address),setOwnerConfirm(uint256)
setOwner(address),mintConfirm(uint256)
addMinterConfirm(uint256),mintConfirm(uint256)
setOwnerConfirm(uint256),mintConfirm(uint256)
finishMintingConfirm(uint256),mintConfirm(uint256)
"mint(address,uint256)",mintConfirm(uint256)
deleteMinterConfirm(uint256),mintConfirm(uint256)
finishMinting(),mintConfirm(uint256)
addMinter(address),mintConfirm(uint256)
deleteMinter(address),mintConfirm(uint256)
setOwner(address),deleteMinterConfirm(uint256)
addMinterConfirm(uint256),deleteMinterConfirm(uint256)
setOwnerConfirm(uint256),deleteMinterConfirm(uint256)
finishMintingConfirm(uint256),deleteMinterConfirm(uint256)
"mint(address,uint256)",deleteMinterConfirm(uint256)
mintConfirm(uint256),deleteMinterConfirm(uint256)
finishMinting(),deleteMinterConfirm(uint256)
addMinter(address),deleteMinterConfirm(uint256)
deleteMinter(address),deleteMinterConfirm(uint256)
