Source Function,Target Function
O4_UnblockContract(),O5_OwnerRetireHodl(uint256)
O7_WithdrawAllReserves(),O5_OwnerRetireHodl(uint256)
"U2_HodlERC20(address,uint256,uint256)",O5_OwnerRetireHodl(uint256)
O3_BlockContract(),O5_OwnerRetireHodl(uint256)
O1_ChangeComission(uint256),O5_OwnerRetireHodl(uint256)
U1_HodlEth(uint256),O5_OwnerRetireHodl(uint256)
O2_ChangeOwner(address),O5_OwnerRetireHodl(uint256)
O6_WithdrawReserve(address),O5_OwnerRetireHodl(uint256)
O7_WithdrawAllReserves(),O4_UnblockContract()
"U2_HodlERC20(address,uint256,uint256)",O4_UnblockContract()
O3_BlockContract(),O4_UnblockContract()
O1_ChangeComission(uint256),O4_UnblockContract()
U1_HodlEth(uint256),O4_UnblockContract()
O2_ChangeOwner(address),O4_UnblockContract()
O4_UnblockContract(),O7_WithdrawAllReserves()
"U2_HodlERC20(address,uint256,uint256)",O7_WithdrawAllReserves()
O3_BlockContract(),O7_WithdrawAllReserves()
O1_ChangeComission(uint256),O7_WithdrawAllReserves()
U1_HodlEth(uint256),O7_WithdrawAllReserves()
O2_ChangeOwner(address),O7_WithdrawAllReserves()
O6_WithdrawReserve(address),O7_WithdrawAllReserves()
O7_WithdrawAllReserves(),U3_UserRetireHodl(uint256)
"U2_HodlERC20(address,uint256,uint256)",U3_UserRetireHodl(uint256)
O6_WithdrawReserve(address),U3_UserRetireHodl(uint256)
U1_HodlEth(uint256),U3_UserRetireHodl(uint256)
O4_UnblockContract(),"U2_HodlERC20(address,uint256,uint256)"
O7_WithdrawAllReserves(),"U2_HodlERC20(address,uint256,uint256)"
O3_BlockContract(),"U2_HodlERC20(address,uint256,uint256)"
O1_ChangeComission(uint256),"U2_HodlERC20(address,uint256,uint256)"
U1_HodlEth(uint256),"U2_HodlERC20(address,uint256,uint256)"
O2_ChangeOwner(address),"U2_HodlERC20(address,uint256,uint256)"
O4_UnblockContract(),O8_WithdrawSpecialEth(uint256)
O7_WithdrawAllReserves(),O8_WithdrawSpecialEth(uint256)
"U2_HodlERC20(address,uint256,uint256)",O8_WithdrawSpecialEth(uint256)
O3_BlockContract(),O8_WithdrawSpecialEth(uint256)
O1_ChangeComission(uint256),O8_WithdrawSpecialEth(uint256)
U1_HodlEth(uint256),O8_WithdrawSpecialEth(uint256)
O2_ChangeOwner(address),O8_WithdrawSpecialEth(uint256)
O6_WithdrawReserve(address),O8_WithdrawSpecialEth(uint256)
O4_UnblockContract(),O3_BlockContract()
O7_WithdrawAllReserves(),O3_BlockContract()
"U2_HodlERC20(address,uint256,uint256)",O3_BlockContract()
O1_ChangeComission(uint256),O3_BlockContract()
U1_HodlEth(uint256),O3_BlockContract()
O2_ChangeOwner(address),O3_BlockContract()
O4_UnblockContract(),O1_ChangeComission(uint256)
O7_WithdrawAllReserves(),O1_ChangeComission(uint256)
"U2_HodlERC20(address,uint256,uint256)",O1_ChangeComission(uint256)
O3_BlockContract(),O1_ChangeComission(uint256)
U1_HodlEth(uint256),O1_ChangeComission(uint256)
O2_ChangeOwner(address),O1_ChangeComission(uint256)
O4_UnblockContract(),O6_WithdrawReserve(address)
O7_WithdrawAllReserves(),O6_WithdrawReserve(address)
"U2_HodlERC20(address,uint256,uint256)",O6_WithdrawReserve(address)
O3_BlockContract(),O6_WithdrawReserve(address)
O1_ChangeComission(uint256),O6_WithdrawReserve(address)
U1_HodlEth(uint256),O6_WithdrawReserve(address)
O2_ChangeOwner(address),O6_WithdrawReserve(address)
O4_UnblockContract(),U1_HodlEth(uint256)
O7_WithdrawAllReserves(),U1_HodlEth(uint256)
"U2_HodlERC20(address,uint256,uint256)",U1_HodlEth(uint256)
O3_BlockContract(),U1_HodlEth(uint256)
O1_ChangeComission(uint256),U1_HodlEth(uint256)
O2_ChangeOwner(address),U1_HodlEth(uint256)
O4_UnblockContract(),O2_ChangeOwner(address)
O7_WithdrawAllReserves(),O2_ChangeOwner(address)
"U2_HodlERC20(address,uint256,uint256)",O2_ChangeOwner(address)
O3_BlockContract(),O2_ChangeOwner(address)
O1_ChangeComission(uint256),O2_ChangeOwner(address)
U1_HodlEth(uint256),O2_ChangeOwner(address)
O4_UnblockContract(),"O9_WithdrawSpecialToken(address,uint256)"
O7_WithdrawAllReserves(),"O9_WithdrawSpecialToken(address,uint256)"
"U2_HodlERC20(address,uint256,uint256)","O9_WithdrawSpecialToken(address,uint256)"
O3_BlockContract(),"O9_WithdrawSpecialToken(address,uint256)"
O1_ChangeComission(uint256),"O9_WithdrawSpecialToken(address,uint256)"
U1_HodlEth(uint256),"O9_WithdrawSpecialToken(address,uint256)"
O2_ChangeOwner(address),"O9_WithdrawSpecialToken(address,uint256)"
O6_WithdrawReserve(address),"O9_WithdrawSpecialToken(address,uint256)"
