Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mintToAddressesAndAmounts(address[],uint256[])","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"mintToAddresses(address[],uint256)","transferFrom(address,address,uint256)"
"mintToAddressesAndAmounts(address[],uint256[])",transferMintMaster(address)
unpause(),transferMintMaster(address)
"mint(address,uint256)",transferMintMaster(address)
finishMinting(),transferMintMaster(address)
pause(),transferMintMaster(address)
"mintToAddresses(address[],uint256)",transferMintMaster(address)
transferOwnership(address),transferMintMaster(address)
transferMintMaster(address),"mintToAddressesAndAmounts(address[],uint256[])"
unpause(),"mintToAddressesAndAmounts(address[],uint256[])"
"mint(address,uint256)","mintToAddressesAndAmounts(address[],uint256[])"
finishMinting(),"mintToAddressesAndAmounts(address[],uint256[])"
pause(),"mintToAddressesAndAmounts(address[],uint256[])"
"mintToAddresses(address[],uint256)","mintToAddressesAndAmounts(address[],uint256[])"
transferOwnership(address),"mintToAddressesAndAmounts(address[],uint256[])"
transferMintMaster(address),unpause()
"mintToAddressesAndAmounts(address[],uint256[])",unpause()
"mint(address,uint256)",unpause()
finishMinting(),unpause()
pause(),unpause()
"mintToAddresses(address[],uint256)",unpause()
transferOwnership(address),unpause()
transferMintMaster(address),"mint(address,uint256)"
"mintToAddressesAndAmounts(address[],uint256[])","mint(address,uint256)"
unpause(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
"mintToAddresses(address[],uint256)","mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
transferMintMaster(address),finishMinting()
"mintToAddressesAndAmounts(address[],uint256[])",finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
pause(),finishMinting()
"mintToAddresses(address[],uint256)",finishMinting()
transferOwnership(address),finishMinting()
transferMintMaster(address),destroy()
"mintToAddressesAndAmounts(address[],uint256[])",destroy()
unpause(),destroy()
"mint(address,uint256)",destroy()
finishMinting(),destroy()
pause(),destroy()
"mintToAddresses(address[],uint256)",destroy()
transferOwnership(address),destroy()
transferMintMaster(address),pause()
"mintToAddressesAndAmounts(address[],uint256[])",pause()
unpause(),pause()
"mint(address,uint256)",pause()
finishMinting(),pause()
"mintToAddresses(address[],uint256)",pause()
transferOwnership(address),pause()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mintToAddressesAndAmounts(address[],uint256[])","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"mintToAddresses(address[],uint256)","transfer(address,uint256)"
transferMintMaster(address),"mintToAddresses(address[],uint256)"
"mintToAddressesAndAmounts(address[],uint256[])","mintToAddresses(address[],uint256)"
unpause(),"mintToAddresses(address[],uint256)"
"mint(address,uint256)","mintToAddresses(address[],uint256)"
finishMinting(),"mintToAddresses(address[],uint256)"
pause(),"mintToAddresses(address[],uint256)"
transferOwnership(address),"mintToAddresses(address[],uint256)"
transferMintMaster(address),transferOwnership(address)
"mintToAddressesAndAmounts(address[],uint256[])",transferOwnership(address)
unpause(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
"mintToAddresses(address[],uint256)",transferOwnership(address)
transferMintMaster(address),destroyAndSend(address)
"mintToAddressesAndAmounts(address[],uint256[])",destroyAndSend(address)
unpause(),destroyAndSend(address)
"mint(address,uint256)",destroyAndSend(address)
finishMinting(),destroyAndSend(address)
pause(),destroyAndSend(address)
"mintToAddresses(address[],uint256)",destroyAndSend(address)
transferOwnership(address),destroyAndSend(address)
