Source Function,Target Function
burn(uint256),stop()
start(),stop()
transferOwnership(address),stop()
stop(),"approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
start(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
stop(),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
start(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
stop(),"burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
start(),"burnFrom(address,uint256)"
transferOwnership(address),"burnFrom(address,uint256)"
stop(),"transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
start(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
stop(),start()
burn(uint256),start()
transferOwnership(address),start()
stop(),transferOwnership(address)
burn(uint256),transferOwnership(address)
start(),transferOwnership(address)
stop(),"safeApprove(address,uint256,uint256)"
burn(uint256),"safeApprove(address,uint256,uint256)"
start(),"safeApprove(address,uint256,uint256)"
transferOwnership(address),"safeApprove(address,uint256,uint256)"
