Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"multimint(address[],uint256[])","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"approve_fixed(address,uint256,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"multimint(address[],uint256[])",acceptOwnership()
"mint(address,uint256)",acceptOwnership()
start(),acceptOwnership()
transferOwnership(address),acceptOwnership()
"approve(address,uint256)","transfer(address,uint256)"
"multimint(address[],uint256[])","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"approve_fixed(address,uint256,uint256)","transfer(address,uint256)"
