Source Function,Target Function
"approve(address,uint256)",massTransfer(address[])
"transferFrom(address,address,uint256)",massTransfer(address[])
"transfer(address,uint256)",massTransfer(address[])
getBounty(),massTransfer(address[])
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
massTransfer(address[]),"transfer(address,uint256)"
getBounty(),"transfer(address,uint256)"
"approve(address,uint256)",getBounty()
"transferFrom(address,address,uint256)",getBounty()
massTransfer(address[]),getBounty()
"transfer(address,uint256)",getBounty()
