Source Function,Target Function
"approve(address,uint256)",removeSalesAgent()
"transferFrom(address,address,uint256)",removeSalesAgent()
burn(uint256),removeSalesAgent()
"transferTokensFromVault(address,address,uint256)",removeSalesAgent()
"decreaseApproval(address,uint256)",removeSalesAgent()
revokeOwnership(address),removeSalesAgent()
"transfer(address,uint256)",removeSalesAgent()
grantOwnership(address),removeSalesAgent()
"increaseApproval(address,uint256)",removeSalesAgent()
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"transferTokensFromVault(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
revokeOwnership(address),burn(uint256)
"transfer(address,uint256)",burn(uint256)
grantOwnership(address),burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)",transferSalesAgentPermissions(address)
"transferFrom(address,address,uint256)",transferSalesAgentPermissions(address)
burn(uint256),transferSalesAgentPermissions(address)
"transferTokensFromVault(address,address,uint256)",transferSalesAgentPermissions(address)
"decreaseApproval(address,uint256)",transferSalesAgentPermissions(address)
revokeOwnership(address),transferSalesAgentPermissions(address)
"transfer(address,uint256)",transferSalesAgentPermissions(address)
grantOwnership(address),transferSalesAgentPermissions(address)
"increaseApproval(address,uint256)",transferSalesAgentPermissions(address)
"approve(address,uint256)",revokeOwnership(address)
"transferFrom(address,address,uint256)",revokeOwnership(address)
burn(uint256),revokeOwnership(address)
"transferTokensFromVault(address,address,uint256)",revokeOwnership(address)
"decreaseApproval(address,uint256)",revokeOwnership(address)
"transfer(address,uint256)",revokeOwnership(address)
grantOwnership(address),revokeOwnership(address)
"increaseApproval(address,uint256)",revokeOwnership(address)
"approve(address,uint256)",grantOwnership(address)
"transferFrom(address,address,uint256)",grantOwnership(address)
burn(uint256),grantOwnership(address)
"transferTokensFromVault(address,address,uint256)",grantOwnership(address)
"decreaseApproval(address,uint256)",grantOwnership(address)
revokeOwnership(address),grantOwnership(address)
"transfer(address,uint256)",grantOwnership(address)
"increaseApproval(address,uint256)",grantOwnership(address)
