Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
lockAccount(address),"transferFrom(address,address,uint256)"
setCrowdsale(address),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
unlockAccount(address),"transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"increaseAllowance(address,uint256)","burnFrom(address,uint256)"
lockAccount(address),"burnFrom(address,uint256)"
setCrowdsale(address),"burnFrom(address,uint256)"
unlockAccount(address),"burnFrom(address,uint256)"
"decreaseAllowance(address,uint256)","burnFrom(address,uint256)"
"transfer(address,uint256)","burnFrom(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"increaseAllowance(address,uint256)","transfer(address,uint256)"
lockAccount(address),"transfer(address,uint256)"
setCrowdsale(address),"transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
unlockAccount(address),"transfer(address,uint256)"
"decreaseAllowance(address,uint256)","transfer(address,uint256)"
