Source Function,Target Function
removeFirstAdvisorLock(address),removeSecondAdvisorLock(address)
"approve(address,uint256)",removeSecondAdvisorLock(address)
removePersonalLockMultiple(address[]),removeSecondAdvisorLock(address)
"withdrawAdvisor(address,uint256)",removeSecondAdvisorLock(address)
refundCoin(address),removeSecondAdvisorLock(address)
"transferFrom(address,address,uint256)",removeSecondAdvisorLock(address)
burnCoin(),removeSecondAdvisorLock(address)
"withdrawEtc(address,uint256)",removeSecondAdvisorLock(address)
removePersonalLock(address),removeSecondAdvisorLock(address)
removeGemmyMusicLock(address),removeSecondAdvisorLock(address)
"withdrawRewardPool(address,uint256)",removeSecondAdvisorLock(address)
"transferMultiple(address[],uint256[])",removeSecondAdvisorLock(address)
"transfer(address,uint256)",removeSecondAdvisorLock(address)
"withdrawFoundation(address,uint256)",removeSecondAdvisorLock(address)
"withdrawMkt(address,uint256)",removeSecondAdvisorLock(address)
"withdrawGemmyMusic(address,uint256)",removeSecondAdvisorLock(address)
removeSecondAdvisorLock(address),removeFirstAdvisorLock(address)
"approve(address,uint256)",removeFirstAdvisorLock(address)
removePersonalLockMultiple(address[]),removeFirstAdvisorLock(address)
"withdrawAdvisor(address,uint256)",removeFirstAdvisorLock(address)
refundCoin(address),removeFirstAdvisorLock(address)
"transferFrom(address,address,uint256)",removeFirstAdvisorLock(address)
burnCoin(),removeFirstAdvisorLock(address)
"withdrawEtc(address,uint256)",removeFirstAdvisorLock(address)
removePersonalLock(address),removeFirstAdvisorLock(address)
removeGemmyMusicLock(address),removeFirstAdvisorLock(address)
"withdrawRewardPool(address,uint256)",removeFirstAdvisorLock(address)
"transferMultiple(address[],uint256[])",removeFirstAdvisorLock(address)
"transfer(address,uint256)",removeFirstAdvisorLock(address)
"withdrawFoundation(address,uint256)",removeFirstAdvisorLock(address)
"withdrawMkt(address,uint256)",removeFirstAdvisorLock(address)
"withdrawGemmyMusic(address,uint256)",removeFirstAdvisorLock(address)
removeSecondAdvisorLock(address),"approve(address,uint256)"
removeFirstAdvisorLock(address),"approve(address,uint256)"
removePersonalLockMultiple(address[]),"approve(address,uint256)"
"withdrawAdvisor(address,uint256)","approve(address,uint256)"
refundCoin(address),"approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
burnCoin(),"approve(address,uint256)"
"withdrawEtc(address,uint256)","approve(address,uint256)"
removePersonalLock(address),"approve(address,uint256)"
removeGemmyMusicLock(address),"approve(address,uint256)"
"withdrawRewardPool(address,uint256)","approve(address,uint256)"
"transferMultiple(address[],uint256[])","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
"withdrawFoundation(address,uint256)","approve(address,uint256)"
"withdrawMkt(address,uint256)","approve(address,uint256)"
"withdrawGemmyMusic(address,uint256)","approve(address,uint256)"
removeSecondAdvisorLock(address),removePersonalLockMultiple(address[])
removeFirstAdvisorLock(address),removePersonalLockMultiple(address[])
"approve(address,uint256)",removePersonalLockMultiple(address[])
"withdrawAdvisor(address,uint256)",removePersonalLockMultiple(address[])
refundCoin(address),removePersonalLockMultiple(address[])
"transferFrom(address,address,uint256)",removePersonalLockMultiple(address[])
burnCoin(),removePersonalLockMultiple(address[])
"withdrawEtc(address,uint256)",removePersonalLockMultiple(address[])
removePersonalLock(address),removePersonalLockMultiple(address[])
removeGemmyMusicLock(address),removePersonalLockMultiple(address[])
"withdrawRewardPool(address,uint256)",removePersonalLockMultiple(address[])
"transferMultiple(address[],uint256[])",removePersonalLockMultiple(address[])
"transfer(address,uint256)",removePersonalLockMultiple(address[])
"withdrawFoundation(address,uint256)",removePersonalLockMultiple(address[])
"withdrawMkt(address,uint256)",removePersonalLockMultiple(address[])
"withdrawGemmyMusic(address,uint256)",removePersonalLockMultiple(address[])
removeSecondAdvisorLock(address),"transferFrom(address,address,uint256)"
removeFirstAdvisorLock(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
removePersonalLockMultiple(address[]),"transferFrom(address,address,uint256)"
"withdrawAdvisor(address,uint256)","transferFrom(address,address,uint256)"
refundCoin(address),"transferFrom(address,address,uint256)"
burnCoin(),"transferFrom(address,address,uint256)"
"withdrawEtc(address,uint256)","transferFrom(address,address,uint256)"
removePersonalLock(address),"transferFrom(address,address,uint256)"
removeGemmyMusicLock(address),"transferFrom(address,address,uint256)"
"withdrawRewardPool(address,uint256)","transferFrom(address,address,uint256)"
"transferMultiple(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"withdrawFoundation(address,uint256)","transferFrom(address,address,uint256)"
"withdrawMkt(address,uint256)","transferFrom(address,address,uint256)"
"withdrawGemmyMusic(address,uint256)","transferFrom(address,address,uint256)"
removeSecondAdvisorLock(address),removePersonalLock(address)
removeFirstAdvisorLock(address),removePersonalLock(address)
"approve(address,uint256)",removePersonalLock(address)
removePersonalLockMultiple(address[]),removePersonalLock(address)
"withdrawAdvisor(address,uint256)",removePersonalLock(address)
refundCoin(address),removePersonalLock(address)
"transferFrom(address,address,uint256)",removePersonalLock(address)
burnCoin(),removePersonalLock(address)
"withdrawEtc(address,uint256)",removePersonalLock(address)
removeGemmyMusicLock(address),removePersonalLock(address)
"withdrawRewardPool(address,uint256)",removePersonalLock(address)
"transferMultiple(address[],uint256[])",removePersonalLock(address)
"transfer(address,uint256)",removePersonalLock(address)
"withdrawFoundation(address,uint256)",removePersonalLock(address)
"withdrawMkt(address,uint256)",removePersonalLock(address)
"withdrawGemmyMusic(address,uint256)",removePersonalLock(address)
removeSecondAdvisorLock(address),removeGemmyMusicLock(address)
removeFirstAdvisorLock(address),removeGemmyMusicLock(address)
"approve(address,uint256)",removeGemmyMusicLock(address)
removePersonalLockMultiple(address[]),removeGemmyMusicLock(address)
"withdrawAdvisor(address,uint256)",removeGemmyMusicLock(address)
refundCoin(address),removeGemmyMusicLock(address)
"transferFrom(address,address,uint256)",removeGemmyMusicLock(address)
burnCoin(),removeGemmyMusicLock(address)
"withdrawEtc(address,uint256)",removeGemmyMusicLock(address)
removePersonalLock(address),removeGemmyMusicLock(address)
"withdrawRewardPool(address,uint256)",removeGemmyMusicLock(address)
"transferMultiple(address[],uint256[])",removeGemmyMusicLock(address)
"transfer(address,uint256)",removeGemmyMusicLock(address)
"withdrawFoundation(address,uint256)",removeGemmyMusicLock(address)
