Source Function,Target Function
"updateTargetToken(address,uint256)",pauseToken()
"newCrowdSale(string,string,string,uint256)",pauseToken()
unpause(),pauseToken()
increaseCap(uint256),pauseToken()
decreaseCap(uint256),pauseToken()
pause(),pauseToken()
transferOwnership(address),pauseToken()
"newCrowdSale(string,string,string,uint256)","updateTargetToken(address,uint256)"
unpause(),"updateTargetToken(address,uint256)"
increaseCap(uint256),"updateTargetToken(address,uint256)"
decreaseCap(uint256),"updateTargetToken(address,uint256)"
pause(),"updateTargetToken(address,uint256)"
transferOwnership(address),"updateTargetToken(address,uint256)"
"updateTargetToken(address,uint256)","newCrowdSale(string,string,string,uint256)"
unpause(),"newCrowdSale(string,string,string,uint256)"
increaseCap(uint256),"newCrowdSale(string,string,string,uint256)"
decreaseCap(uint256),"newCrowdSale(string,string,string,uint256)"
pause(),"newCrowdSale(string,string,string,uint256)"
transferOwnership(address),"newCrowdSale(string,string,string,uint256)"
"updateTargetToken(address,uint256)",unpause()
"newCrowdSale(string,string,string,uint256)",unpause()
increaseCap(uint256),unpause()
decreaseCap(uint256),unpause()
pause(),unpause()
transferOwnership(address),unpause()
"updateTargetToken(address,uint256)",unpauseToken()
"newCrowdSale(string,string,string,uint256)",unpauseToken()
unpause(),unpauseToken()
increaseCap(uint256),unpauseToken()
decreaseCap(uint256),unpauseToken()
pause(),unpauseToken()
transferOwnership(address),unpauseToken()
"updateTargetToken(address,uint256)",increaseCap(uint256)
"newCrowdSale(string,string,string,uint256)",increaseCap(uint256)
unpause(),increaseCap(uint256)
decreaseCap(uint256),increaseCap(uint256)
pause(),increaseCap(uint256)
transferOwnership(address),increaseCap(uint256)
"updateTargetToken(address,uint256)",decreaseCap(uint256)
"newCrowdSale(string,string,string,uint256)",decreaseCap(uint256)
unpause(),decreaseCap(uint256)
increaseCap(uint256),decreaseCap(uint256)
pause(),decreaseCap(uint256)
transferOwnership(address),decreaseCap(uint256)
"updateTargetToken(address,uint256)",pause()
"newCrowdSale(string,string,string,uint256)",pause()
unpause(),pause()
increaseCap(uint256),pause()
decreaseCap(uint256),pause()
transferOwnership(address),pause()
"updateTargetToken(address,uint256)",releaseTargetToken(uint256)
"newCrowdSale(string,string,string,uint256)",releaseTargetToken(uint256)
unpause(),releaseTargetToken(uint256)
increaseCap(uint256),releaseTargetToken(uint256)
decreaseCap(uint256),releaseTargetToken(uint256)
pause(),releaseTargetToken(uint256)
transferOwnership(address),releaseTargetToken(uint256)
"updateTargetToken(address,uint256)",transferOwnership(address)
"newCrowdSale(string,string,string,uint256)",transferOwnership(address)
unpause(),transferOwnership(address)
increaseCap(uint256),transferOwnership(address)
decreaseCap(uint256),transferOwnership(address)
pause(),transferOwnership(address)
