Source Function,Target Function
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"placeorder(uint256,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"updateprice(uint256,uint256)","transferFrom(address,address,uint256)"
"addproduct(string,string,uint256,string)","transferFrom(address,address,uint256)"
"registerBuyer(string,string,string,string,string)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","placeorder(uint256,uint256)"
"approve(address,uint256)","placeorder(uint256,uint256)"
"transferFrom(address,address,uint256)","placeorder(uint256,uint256)"
"decreaseApproval(address,uint256)","placeorder(uint256,uint256)"
"updateprice(uint256,uint256)","placeorder(uint256,uint256)"
"addproduct(string,string,uint256,string)","placeorder(uint256,uint256)"
"registerBuyer(string,string,string,string,string)","placeorder(uint256,uint256)"
"increaseApproval(address,uint256)","updateprice(uint256,uint256)"
"approve(address,uint256)","updateprice(uint256,uint256)"
"transferFrom(address,address,uint256)","updateprice(uint256,uint256)"
"placeorder(uint256,uint256)","updateprice(uint256,uint256)"
"decreaseApproval(address,uint256)","updateprice(uint256,uint256)"
"addproduct(string,string,uint256,string)","updateprice(uint256,uint256)"
"registerBuyer(string,string,string,string,string)","updateprice(uint256,uint256)"
"increaseApproval(address,uint256)",checkUser()
"approve(address,uint256)",checkUser()
"transferFrom(address,address,uint256)",checkUser()
"placeorder(uint256,uint256)",checkUser()
"decreaseApproval(address,uint256)",checkUser()
"updateprice(uint256,uint256)",checkUser()
"addproduct(string,string,uint256,string)",checkUser()
"registerBuyer(string,string,string,string,string)",checkUser()
