Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mintTo(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"approve(address,uint256)","mintTo(address,uint256)"
"transferFrom(address,address,uint256)","mintTo(address,uint256)"
"burnFrom(address,uint256)","mintTo(address,uint256)"
"approveAndCall(address,uint256,bytes)","mintTo(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"mintTo(address,uint256)","burnFrom(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnFrom(address,uint256)"
