Source Function,Target Function
"approve(address,uint256)","MultiTransfer(address[],uint256[])"
"transferFrom(address,address,uint256)","MultiTransfer(address[],uint256[])"
"burnHackingAmount(address,string)","MultiTransfer(address[],uint256[])"
"mint(address,uint256)","MultiTransfer(address[],uint256[])"
"decreaseApproval(address,uint256)","MultiTransfer(address[],uint256[])"
burnAdminAmount(uint256),"MultiTransfer(address[],uint256[])"
"transfer(address,uint256)","MultiTransfer(address[],uint256[])"
UnLockAddress(address),"MultiTransfer(address[],uint256[])"
SetLockAddress(address),"MultiTransfer(address[],uint256[])"
"increaseApproval(address,uint256)","MultiTransfer(address[],uint256[])"
CTOSignature(),"approve(address,uint256)"
transferOperator(address),"approve(address,uint256)"
"burnHackingAmount(address,string)","approve(address,uint256)"
restartMinting(string),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
transferCMO(address),"approve(address,uint256)"
CEOSignature(),"approve(address,uint256)"
burnAdminAmount(uint256),"approve(address,uint256)"
transferCTO(address),"approve(address,uint256)"
finishMinting(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
CMOSignature(),"approve(address,uint256)"
SignatureInvalidity(),"approve(address,uint256)"
transferCEO(address),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"MultiTransfer(address[],uint256[])","approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"decreaseApproval(address,uint256)","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
UnLockAddress(address),"approve(address,uint256)"
SetLockAddress(address),"approve(address,uint256)"
"increaseApproval(address,uint256)","approve(address,uint256)"
CTOSignature(),"transferFrom(address,address,uint256)"
transferOperator(address),"transferFrom(address,address,uint256)"
"burnHackingAmount(address,string)","transferFrom(address,address,uint256)"
restartMinting(string),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
transferCMO(address),"transferFrom(address,address,uint256)"
CEOSignature(),"transferFrom(address,address,uint256)"
burnAdminAmount(uint256),"transferFrom(address,address,uint256)"
transferCTO(address),"transferFrom(address,address,uint256)"
finishMinting(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
CMOSignature(),"transferFrom(address,address,uint256)"
SignatureInvalidity(),"transferFrom(address,address,uint256)"
transferCEO(address),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"MultiTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
UnLockAddress(address),"transferFrom(address,address,uint256)"
SetLockAddress(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"MultiTransfer(address[],uint256[])","burnHackingAmount(address,string)"
"approve(address,uint256)","burnHackingAmount(address,string)"
"transferFrom(address,address,uint256)","burnHackingAmount(address,string)"
"mint(address,uint256)","burnHackingAmount(address,string)"
"decreaseApproval(address,uint256)","burnHackingAmount(address,string)"
burnAdminAmount(uint256),"burnHackingAmount(address,string)"
"transfer(address,uint256)","burnHackingAmount(address,string)"
UnLockAddress(address),"burnHackingAmount(address,string)"
SetLockAddress(address),"burnHackingAmount(address,string)"
"increaseApproval(address,uint256)","burnHackingAmount(address,string)"
CTOSignature(),unpause()
transferOperator(address),unpause()
"burnHackingAmount(address,string)",unpause()
restartMinting(string),unpause()
"mint(address,uint256)",unpause()
transferCMO(address),unpause()
CEOSignature(),unpause()
burnAdminAmount(uint256),unpause()
transferCTO(address),unpause()
finishMinting(),unpause()
pause(),unpause()
CMOSignature(),unpause()
SignatureInvalidity(),unpause()
transferCEO(address),unpause()
transferOwnership(address),unpause()
CTOSignature(),"decreaseApproval(address,uint256)"
transferOperator(address),"decreaseApproval(address,uint256)"
"burnHackingAmount(address,string)","decreaseApproval(address,uint256)"
restartMinting(string),"decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
transferCMO(address),"decreaseApproval(address,uint256)"
CEOSignature(),"decreaseApproval(address,uint256)"
burnAdminAmount(uint256),"decreaseApproval(address,uint256)"
transferCTO(address),"decreaseApproval(address,uint256)"
finishMinting(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
