Source Function,Target Function
unpause(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
unlock(),"approve(address,uint256)"
allowCrowdsaleAddress(address),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transferLockedPart(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
unlock(),"transferFrom(address,address,uint256)"
allowCrowdsaleAddress(address),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
pause(),unpause()
unlock(),unpause()
allowCrowdsaleAddress(address),unpause()
transferOwnership(address),unpause()
unpause(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
unlock(),"decreaseApproval(address,uint256)"
allowCrowdsaleAddress(address),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
unpause(),pause()
unlock(),pause()
allowCrowdsaleAddress(address),pause()
transferOwnership(address),pause()
unpause(),unlock()
pause(),unlock()
allowCrowdsaleAddress(address),unlock()
transferOwnership(address),unlock()
unpause(),"transferLockedPart(address,uint256)"
pause(),"transferLockedPart(address,uint256)"
unlock(),"transferLockedPart(address,uint256)"
allowCrowdsaleAddress(address),"transferLockedPart(address,uint256)"
transferOwnership(address),"transferLockedPart(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
unlock(),"increaseApproval(address,uint256)"
allowCrowdsaleAddress(address),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
unpause(),allowCrowdsaleAddress(address)
pause(),allowCrowdsaleAddress(address)
unlock(),allowCrowdsaleAddress(address)
transferOwnership(address),allowCrowdsaleAddress(address)
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
unlock(),transferOwnership(address)
allowCrowdsaleAddress(address),transferOwnership(address)
