Source Function,Target Function
distributeAllTokens(),checkAvailableTokens(address)
distributeManyTokens(address[]),checkAvailableTokens(address)
"setAllocation(address,uint256)",checkAvailableTokens(address)
removeAllocation(address),checkAvailableTokens(address)
distributeManyTokens(address[]),distributeAllTokens()
"setAllocation(address,uint256)",distributeAllTokens()
removeAllocation(address),distributeAllTokens()
transferAdminOwnership(address),distributeAllTokens()
transferOwnership(address),distributeAllTokens()
distributeAllTokens(),distributeManyTokens(address[])
"setAllocation(address,uint256)",distributeManyTokens(address[])
removeAllocation(address),distributeManyTokens(address[])
transferAdminOwnership(address),distributeManyTokens(address[])
transferOwnership(address),distributeManyTokens(address[])
distributeAllTokens(),removeAllocation(address)
distributeManyTokens(address[]),removeAllocation(address)
"setAllocation(address,uint256)",removeAllocation(address)
transferAdminOwnership(address),returnTokens()
distributeAllTokens(),returnTokens()
distributeManyTokens(address[]),returnTokens()
"setAllocation(address,uint256)",returnTokens()
removeAllocation(address),returnTokens()
transferOwnership(address),returnTokens()
