Source Function,Target Function
setLegacyNFTAddress(address),setOwnerCutPerMillion(uint256)
unpause(),setOwnerCutPerMillion(uint256)
pause(),setOwnerCutPerMillion(uint256)
setPublicationFee(uint256),setOwnerCutPerMillion(uint256)
"initialize(address,address,address)",setOwnerCutPerMillion(uint256)
transferOwnership(address),setOwnerCutPerMillion(uint256)
setOwnerCutPerMillion(uint256),setLegacyNFTAddress(address)
unpause(),setLegacyNFTAddress(address)
pause(),setLegacyNFTAddress(address)
setPublicationFee(uint256),setLegacyNFTAddress(address)
"initialize(address,address,address)",setLegacyNFTAddress(address)
transferOwnership(address),setLegacyNFTAddress(address)
setOwnerCutPerMillion(uint256),unpause()
setLegacyNFTAddress(address),unpause()
pause(),unpause()
setPublicationFee(uint256),unpause()
"initialize(address,address,address)",unpause()
transferOwnership(address),unpause()
setOwnerCutPerMillion(uint256),cancelOrder(uint256)
setLegacyNFTAddress(address),cancelOrder(uint256)
unpause(),cancelOrder(uint256)
pause(),cancelOrder(uint256)
setPublicationFee(uint256),cancelOrder(uint256)
"initialize(address,address,address)",cancelOrder(uint256)
transferOwnership(address),cancelOrder(uint256)
"cancelOrder(address,uint256)",cancelOrder(uint256)
"createOrder(address,uint256,uint256,uint256)",cancelOrder(uint256)
"safeExecuteOrder(address,uint256,uint256,bytes)",cancelOrder(uint256)
"createOrder(uint256,uint256,uint256)",cancelOrder(uint256)
"executeOrder(address,uint256,uint256)",cancelOrder(uint256)
"executeOrder(uint256,uint256)",cancelOrder(uint256)
setOwnerCutPerMillion(uint256),"cancelOrder(address,uint256)"
setLegacyNFTAddress(address),"cancelOrder(address,uint256)"
unpause(),"cancelOrder(address,uint256)"
pause(),"cancelOrder(address,uint256)"
setPublicationFee(uint256),"cancelOrder(address,uint256)"
"initialize(address,address,address)","cancelOrder(address,uint256)"
transferOwnership(address),"cancelOrder(address,uint256)"
cancelOrder(uint256),"cancelOrder(address,uint256)"
"createOrder(address,uint256,uint256,uint256)","cancelOrder(address,uint256)"
"safeExecuteOrder(address,uint256,uint256,bytes)","cancelOrder(address,uint256)"
"createOrder(uint256,uint256,uint256)","cancelOrder(address,uint256)"
"executeOrder(address,uint256,uint256)","cancelOrder(address,uint256)"
"executeOrder(uint256,uint256)","cancelOrder(address,uint256)"
setOwnerCutPerMillion(uint256),"createOrder(address,uint256,uint256,uint256)"
setLegacyNFTAddress(address),"createOrder(address,uint256,uint256,uint256)"
unpause(),"createOrder(address,uint256,uint256,uint256)"
pause(),"createOrder(address,uint256,uint256,uint256)"
setPublicationFee(uint256),"createOrder(address,uint256,uint256,uint256)"
"initialize(address,address,address)","createOrder(address,uint256,uint256,uint256)"
transferOwnership(address),"createOrder(address,uint256,uint256,uint256)"
setOwnerCutPerMillion(uint256),pause()
setLegacyNFTAddress(address),pause()
unpause(),pause()
setPublicationFee(uint256),pause()
"initialize(address,address,address)",pause()
transferOwnership(address),pause()
setOwnerCutPerMillion(uint256),"safeExecuteOrder(address,uint256,uint256,bytes)"
setLegacyNFTAddress(address),"safeExecuteOrder(address,uint256,uint256,bytes)"
unpause(),"safeExecuteOrder(address,uint256,uint256,bytes)"
pause(),"safeExecuteOrder(address,uint256,uint256,bytes)"
setPublicationFee(uint256),"safeExecuteOrder(address,uint256,uint256,bytes)"
"initialize(address,address,address)","safeExecuteOrder(address,uint256,uint256,bytes)"
transferOwnership(address),"safeExecuteOrder(address,uint256,uint256,bytes)"
cancelOrder(uint256),"safeExecuteOrder(address,uint256,uint256,bytes)"
"cancelOrder(address,uint256)","safeExecuteOrder(address,uint256,uint256,bytes)"
"createOrder(address,uint256,uint256,uint256)","safeExecuteOrder(address,uint256,uint256,bytes)"
"createOrder(uint256,uint256,uint256)","safeExecuteOrder(address,uint256,uint256,bytes)"
"executeOrder(address,uint256,uint256)","safeExecuteOrder(address,uint256,uint256,bytes)"
"executeOrder(uint256,uint256)","safeExecuteOrder(address,uint256,uint256,bytes)"
setOwnerCutPerMillion(uint256),"createOrder(uint256,uint256,uint256)"
setLegacyNFTAddress(address),"createOrder(uint256,uint256,uint256)"
unpause(),"createOrder(uint256,uint256,uint256)"
pause(),"createOrder(uint256,uint256,uint256)"
setPublicationFee(uint256),"createOrder(uint256,uint256,uint256)"
"initialize(address,address,address)","createOrder(uint256,uint256,uint256)"
transferOwnership(address),"createOrder(uint256,uint256,uint256)"
