Source Function,Target Function
"setAffiliateRate(uint256,uint256)",payAffiliateToAddress(address)
payBonusToAddress(address),payAffiliateToAddress(address)
"setReferralAddress(address,address)",payAffiliateToAddress(address)
"setAffiliateRate(uint256,uint256)",payBonusToAddress(address)
payAffiliateToAddress(address),payBonusToAddress(address)
"setReferralAddress(address,address)",payBonusToAddress(address)
setAffiliateLevel(uint256),enableBonus()
setMaxGasRefund(uint256),enableBonus()
pause(),enableBonus()
disableAffiliate(),enableBonus()
setTokenExchangeRate(uint256),enableBonus()
setEthFundDeposit(address),enableBonus()
transferOwnership(address),enableBonus()
enableAffiliate(),enableBonus()
"setReferralAddress(address,address)",enableBonus()
unpause(),enableBonus()
setMinContribution(uint256),enableBonus()
finalize(),enableBonus()
disableBonus(),enableBonus()
setAffiliateLevel(uint256),disableBonus()
setMaxGasRefund(uint256),disableBonus()
pause(),disableBonus()
disableAffiliate(),disableBonus()
setTokenExchangeRate(uint256),disableBonus()
setEthFundDeposit(address),disableBonus()
transferOwnership(address),disableBonus()
enableAffiliate(),disableBonus()
"setReferralAddress(address,address)",disableBonus()
enableBonus(),disableBonus()
unpause(),disableBonus()
setMinContribution(uint256),disableBonus()
finalize(),disableBonus()
