Source Function,Target Function
"approve(address,uint256)","issue(address,uint256,uint256)"
"transferFrom(address,address,uint256)","issue(address,uint256,uint256)"
"send(address,uint256,uint256,uint256)","issue(address,uint256,uint256)"
"freeze(uint256,uint256)","issue(address,uint256,uint256)"
"release(address[],uint256[])","issue(address,uint256,uint256)"
"distribute(address,uint256,uint256,address[],uint256[])","issue(address,uint256,uint256)"
"decreaseApproval(address,uint256)","issue(address,uint256,uint256)"
"transfer(address,uint256)","issue(address,uint256,uint256)"
"setParter(address,uint256,uint256)","issue(address,uint256,uint256)"
"bonus(uint256,address[],uint256[])","issue(address,uint256,uint256)"
"increaseApproval(address,uint256)","issue(address,uint256,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
setSysAcc(address),"approve(address,uint256)"
pause(),"approve(address,uint256)"
"setParter(address,uint256,uint256)","approve(address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
setSysAcc(address),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
"setParter(address,uint256,uint256)","transferFrom(address,address,uint256)"
"issue(address,uint256,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"send(address,uint256,uint256,uint256)","transferFrom(address,address,uint256)"
"freeze(uint256,uint256)","transferFrom(address,address,uint256)"
"release(address[],uint256[])","transferFrom(address,address,uint256)"
"distribute(address,uint256,uint256,address[],uint256[])","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"bonus(uint256,address[],uint256[])","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
transferOwnership(address),"send(address,uint256,uint256,uint256)"
unpause(),"send(address,uint256,uint256,uint256)"
setSysAcc(address),"send(address,uint256,uint256,uint256)"
pause(),"send(address,uint256,uint256,uint256)"
"setParter(address,uint256,uint256)","send(address,uint256,uint256,uint256)"
"issue(address,uint256,uint256)","send(address,uint256,uint256,uint256)"
"approve(address,uint256)","send(address,uint256,uint256,uint256)"
"transferFrom(address,address,uint256)","send(address,uint256,uint256,uint256)"
