Source Function,Target Function
startTrading(),setPublicSaleAgent(address)
"mint(address,uint256)",setPublicSaleAgent(address)
finishMinting(),setPublicSaleAgent(address)
setPreSaleAgent(address),setPublicSaleAgent(address)
transferOwnership(address),setPublicSaleAgent(address)
"approve(address,uint256)",burn(uint256)
"mint(address,uint256)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"approve(address,uint256)","burnFrom(address,uint256)"
"mint(address,uint256)","burnFrom(address,uint256)"
setPublicSaleAgent(address),finishMinting()
startTrading(),finishMinting()
"mint(address,uint256)",finishMinting()
setPreSaleAgent(address),finishMinting()
transferOwnership(address),finishMinting()
setPublicSaleAgent(address),destroy()
startTrading(),destroy()
"mint(address,uint256)",destroy()
finishMinting(),destroy()
setPreSaleAgent(address),destroy()
transferOwnership(address),destroy()
setPublicSaleAgent(address),setPreSaleAgent(address)
startTrading(),setPreSaleAgent(address)
"mint(address,uint256)",setPreSaleAgent(address)
finishMinting(),setPreSaleAgent(address)
transferOwnership(address),setPreSaleAgent(address)
setPublicSaleAgent(address),"transferAnyERC20Token(address,uint256)"
startTrading(),"transferAnyERC20Token(address,uint256)"
"mint(address,uint256)","transferAnyERC20Token(address,uint256)"
finishMinting(),"transferAnyERC20Token(address,uint256)"
setPreSaleAgent(address),"transferAnyERC20Token(address,uint256)"
transferOwnership(address),"transferAnyERC20Token(address,uint256)"
setPublicSaleAgent(address),transferOwnership(address)
startTrading(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
finishMinting(),transferOwnership(address)
setPreSaleAgent(address),transferOwnership(address)
