Source Function,Target Function
vote(uint256),withdrawAmount(uint256)
setOwner(address),withdrawAmount(uint256)
startVoting(),withdrawAmount(uint256)
clear(),withdrawAmount(uint256)
changeRestarTime(uint32),withdrawAmount(uint256)
"voteResultPublish(address[],uint256[])",withdrawAmount(uint256)
stopVoting(),withdrawAmount(uint256)
changevotePrice(uint256),withdrawAmount(uint256)
vote(uint256),setOwner(address)
startVoting(),setOwner(address)
clear(),setOwner(address)
changeRestarTime(uint32),setOwner(address)
"voteResultPublish(address[],uint256[])",setOwner(address)
stopVoting(),setOwner(address)
changevotePrice(uint256),setOwner(address)
vote(uint256),startVoting()
setOwner(address),startVoting()
clear(),startVoting()
changeRestarTime(uint32),startVoting()
"voteResultPublish(address[],uint256[])",startVoting()
stopVoting(),startVoting()
changevotePrice(uint256),startVoting()
vote(uint256),clear()
setOwner(address),clear()
startVoting(),clear()
changeRestarTime(uint32),clear()
"voteResultPublish(address[],uint256[])",clear()
stopVoting(),clear()
changevotePrice(uint256),clear()
vote(uint256),changeRestarTime(uint32)
setOwner(address),changeRestarTime(uint32)
startVoting(),changeRestarTime(uint32)
clear(),changeRestarTime(uint32)
"voteResultPublish(address[],uint256[])",changeRestarTime(uint32)
stopVoting(),changeRestarTime(uint32)
changevotePrice(uint256),changeRestarTime(uint32)
vote(uint256),withdrawAll()
setOwner(address),withdrawAll()
startVoting(),withdrawAll()
clear(),withdrawAll()
changeRestarTime(uint32),withdrawAll()
"voteResultPublish(address[],uint256[])",withdrawAll()
stopVoting(),withdrawAll()
changevotePrice(uint256),withdrawAll()
vote(uint256),getVoteResult()
setOwner(address),getVoteResult()
startVoting(),getVoteResult()
clear(),getVoteResult()
changeRestarTime(uint32),getVoteResult()
"voteResultPublish(address[],uint256[])",getVoteResult()
stopVoting(),getVoteResult()
changevotePrice(uint256),getVoteResult()
vote(uint256),"voteResultPublish(address[],uint256[])"
setOwner(address),"voteResultPublish(address[],uint256[])"
startVoting(),"voteResultPublish(address[],uint256[])"
clear(),"voteResultPublish(address[],uint256[])"
changeRestarTime(uint32),"voteResultPublish(address[],uint256[])"
stopVoting(),"voteResultPublish(address[],uint256[])"
changevotePrice(uint256),"voteResultPublish(address[],uint256[])"
vote(uint256),stopVoting()
setOwner(address),stopVoting()
startVoting(),stopVoting()
clear(),stopVoting()
changeRestarTime(uint32),stopVoting()
"voteResultPublish(address[],uint256[])",stopVoting()
changevotePrice(uint256),stopVoting()
vote(uint256),changevotePrice(uint256)
setOwner(address),changevotePrice(uint256)
startVoting(),changevotePrice(uint256)
clear(),changevotePrice(uint256)
changeRestarTime(uint32),changevotePrice(uint256)
"voteResultPublish(address[],uint256[])",changevotePrice(uint256)
stopVoting(),changevotePrice(uint256)
