Source Function,Target Function
"setIsAdmin(address,bool)","setConfig(uint256,uint256,string,string,uint256,uint256)"
transferOwnership(address),"setConfig(uint256,uint256,string,string,uint256,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"lockStatus(address,bool)","approve(address,uint256)"
"batchTransfer(address[],uint256)","approve(address,uint256)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","approve(address,uint256)"
"sellCoin(address,uint256)","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","approve(address,uint256)"
"setIsAdmin(address,bool)","approve(address,uint256)"
"approveAndCall(address,uint256,bytes)","approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"lockStatus(address,bool)","transferFrom(address,address,uint256)"
"batchTransfer(address[],uint256)","transferFrom(address,address,uint256)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","transferFrom(address,address,uint256)"
"sellCoin(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","transferFrom(address,address,uint256)"
"setIsAdmin(address,bool)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"approve(address,uint256)","batchTransfer(address[],uint256)"
"transferFrom(address,address,uint256)","batchTransfer(address[],uint256)"
"lockStatus(address,bool)","batchTransfer(address[],uint256)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","batchTransfer(address[],uint256)"
"sellCoin(address,uint256)","batchTransfer(address[],uint256)"
"transfer(address,uint256)","batchTransfer(address[],uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","batchTransfer(address[],uint256)"
"setIsAdmin(address,bool)","batchTransfer(address[],uint256)"
"approveAndCall(address,uint256,bytes)","batchTransfer(address[],uint256)"
"approve(address,uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"transferFrom(address,address,uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"lockStatus(address,bool)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"batchTransfer(address[],uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"sellCoin(address,uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"transfer(address,uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"setIsAdmin(address,bool)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"approveAndCall(address,uint256,bytes)","setLockPostion(address,uint256,uint256,uint256,uint256)"
"setConfig(uint256,uint256,string,string,uint256,uint256)","setLockPostion(address,uint256,uint256,uint256,uint256)"
transferOwnership(address),"setLockPostion(address,uint256,uint256,uint256,uint256)"
"setConfig(uint256,uint256,string,string,uint256,uint256)","sellCoin(address,uint256)"
"setIsAdmin(address,bool)","sellCoin(address,uint256)"
transferOwnership(address),"sellCoin(address,uint256)"
"approve(address,uint256)","sellCoin(address,uint256)"
"transferFrom(address,address,uint256)","sellCoin(address,uint256)"
"lockStatus(address,bool)","sellCoin(address,uint256)"
"batchTransfer(address[],uint256)","sellCoin(address,uint256)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","sellCoin(address,uint256)"
"transfer(address,uint256)","sellCoin(address,uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","sellCoin(address,uint256)"
"approveAndCall(address,uint256,bytes)","sellCoin(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"lockStatus(address,bool)","transfer(address,uint256)"
"batchTransfer(address[],uint256)","transfer(address,uint256)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","transfer(address,uint256)"
"sellCoin(address,uint256)","transfer(address,uint256)"
"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)","transfer(address,uint256)"
"setIsAdmin(address,bool)","transfer(address,uint256)"
"approveAndCall(address,uint256,bytes)","transfer(address,uint256)"
"approve(address,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"transferFrom(address,address,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"lockStatus(address,bool)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"batchTransfer(address[],uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"setLockPostion(address,uint256,uint256,uint256,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"sellCoin(address,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"transfer(address,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"setIsAdmin(address,bool)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"approveAndCall(address,uint256,bytes)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"setConfig(uint256,uint256,string,string,uint256,uint256)","setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
transferOwnership(address),"setLockPostion1(address,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8,uint256,uint8)"
"setConfig(uint256,uint256,string,string,uint256,uint256)","setIsAdmin(address,bool)"
transferOwnership(address),"setIsAdmin(address,bool)"
"setConfig(uint256,uint256,string,string,uint256,uint256)","transferAnyERC20Token(address,uint256)"
"setIsAdmin(address,bool)","transferAnyERC20Token(address,uint256)"
transferOwnership(address),"transferAnyERC20Token(address,uint256)"
"setConfig(uint256,uint256,string,string,uint256,uint256)",transferOwnership(address)
"setIsAdmin(address,bool)",transferOwnership(address)
