Source Function,Target Function
unpause(),"recoupStake(address,uint256,bytes)"
setGrantSigner(address),"recoupStake(address,uint256,bytes)"
renounceOwnership(),"recoupStake(address,uint256,bytes)"
pause(),"recoupStake(address,uint256,bytes)"
transferOwnership(address),"recoupStake(address,uint256,bytes)"
"stake(address,uint256,bytes)","recoupStake(address,uint256,bytes)"
unpause(),"stake(address,uint256,bytes)"
setGrantSigner(address),"stake(address,uint256,bytes)"
renounceOwnership(),"stake(address,uint256,bytes)"
pause(),"stake(address,uint256,bytes)"
transferOwnership(address),"stake(address,uint256,bytes)"
"recoupStake(address,uint256,bytes)","stake(address,uint256,bytes)"
