Source Function,Target Function
setPreICOEndDate(uint256),setICOEndDate(uint256)
setToken(address),setICOEndDate(uint256)
buyTokensWithReferal(address),setICOEndDate(uint256)
setICOStartDate(uint256),setICOEndDate(uint256)
setRate(uint16),setICOEndDate(uint256)
setPreICOStartDate(uint256),setICOEndDate(uint256)
setWallet(address),setICOEndDate(uint256)
setETHUSD(uint256),setICOEndDate(uint256)
buyTokensWithReferal(address),refund()
removeFromWhitelist(address),refund()
addManyToWhitelist(address[]),refund()
addToWhitelist(address),refund()
