Source Function,Target Function
"mint(address,uint256)","transferFrom(address,address,uint256)"
resumeMinting(),"transferFrom(address,address,uint256)"
endTransfer(),"transferFrom(address,address,uint256)"
finishMinting(),"transferFrom(address,address,uint256)"
startTransfer(),"transferFrom(address,address,uint256)"
burn(address),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
resumeMinting(),"mint(address,uint256)"
endTransfer(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
startTransfer(),"mint(address,uint256)"
burn(address),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"mint(address,uint256)",resumeMinting()
endTransfer(),resumeMinting()
finishMinting(),resumeMinting()
startTransfer(),resumeMinting()
burn(address),resumeMinting()
transferOwnership(address),resumeMinting()
"mint(address,uint256)",endTransfer()
resumeMinting(),endTransfer()
finishMinting(),endTransfer()
startTransfer(),endTransfer()
burn(address),endTransfer()
transferOwnership(address),endTransfer()
"mint(address,uint256)",finishMinting()
resumeMinting(),finishMinting()
endTransfer(),finishMinting()
startTransfer(),finishMinting()
burn(address),finishMinting()
transferOwnership(address),finishMinting()
"mint(address,uint256)",startTransfer()
resumeMinting(),startTransfer()
endTransfer(),startTransfer()
finishMinting(),startTransfer()
burn(address),startTransfer()
transferOwnership(address),startTransfer()
"mint(address,uint256)",burn(address)
resumeMinting(),burn(address)
endTransfer(),burn(address)
finishMinting(),burn(address)
startTransfer(),burn(address)
transferOwnership(address),burn(address)
"approve(address,uint256)",burn(address)
"transferFrom(address,address,uint256)",burn(address)
"decreaseApproval(address,uint256)",burn(address)
"transfer(address,uint256)",burn(address)
"increaseApproval(address,uint256)",burn(address)
"mint(address,uint256)","transfer(address,uint256)"
resumeMinting(),"transfer(address,uint256)"
endTransfer(),"transfer(address,uint256)"
finishMinting(),"transfer(address,uint256)"
startTransfer(),"transfer(address,uint256)"
burn(address),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"mint(address,uint256)",transferOwnership(address)
resumeMinting(),transferOwnership(address)
endTransfer(),transferOwnership(address)
finishMinting(),transferOwnership(address)
startTransfer(),transferOwnership(address)
burn(address),transferOwnership(address)
