Source Function,Target Function
transfersOnOff(uint8),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"admin(address,uint8)",burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"admin(address,uint8)","transfer(address,uint256)"
burn(uint256),transfersOnOff(uint8)
burn(uint256),"admin(address,uint8)"
transfersOnOff(uint8),"admin(address,uint8)"
