Source Function,Target Function
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
releaseLockedBalance(),burn(uint256)
transferLockedToken(uint256),burn(uint256)
releaseSupply(uint256),burn(uint256)
"transfer(address,uint256)",burn(uint256)
transferOperator(address),claimOwnership()
transferLockedToken(uint256),claimOwnership()
burn(uint256),claimOwnership()
releaseSupply(uint256),claimOwnership()
setDailyLimit(uint256),claimOwnership()
transferOwnership(address),claimOwnership()
