Source Function,Target Function
claimOwnership(),"withdrawToken(address,address,uint256)"
renounceOwnership(),"withdrawToken(address,address,uint256)"
bindContract(address),"withdrawToken(address,address,uint256)"
"initialize(address,address,address)","withdrawToken(address,address,uint256)"
"setLimits(uint256,uint256)","withdrawToken(address,address,uint256)"
ownedOwnershipTransferred(),"withdrawToken(address,address,uint256)"
changeOwnershipto(address),"withdrawToken(address,address,uint256)"
transferOwnership(address),"withdrawToken(address,address,uint256)"
claimOwnership(),getDepositWithdrawCount(address)
renounceOwnership(),getDepositWithdrawCount(address)
bindContract(address),getDepositWithdrawCount(address)
"initialize(address,address,address)",getDepositWithdrawCount(address)
"setLimits(uint256,uint256)",getDepositWithdrawCount(address)
ownedOwnershipTransferred(),getDepositWithdrawCount(address)
changeOwnershipto(address),getDepositWithdrawCount(address)
transferOwnership(address),getDepositWithdrawCount(address)
claimOwnership(),"freezeTokens(address,bool,uint256)"
renounceOwnership(),"freezeTokens(address,bool,uint256)"
bindContract(address),"freezeTokens(address,bool,uint256)"
"initialize(address,address,address)","freezeTokens(address,bool,uint256)"
"setLimits(uint256,uint256)","freezeTokens(address,bool,uint256)"
ownedOwnershipTransferred(),"freezeTokens(address,bool,uint256)"
changeOwnershipto(address),"freezeTokens(address,bool,uint256)"
transferOwnership(address),"freezeTokens(address,bool,uint256)"
claimOwnership(),"changeDefaultWithdraw(address,address)"
renounceOwnership(),"changeDefaultWithdraw(address,address)"
bindContract(address),"changeDefaultWithdraw(address,address)"
"initialize(address,address,address)","changeDefaultWithdraw(address,address)"
"setLimits(uint256,uint256)","changeDefaultWithdraw(address,address)"
ownedOwnershipTransferred(),"changeDefaultWithdraw(address,address)"
changeOwnershipto(address),"changeDefaultWithdraw(address,address)"
transferOwnership(address),"changeDefaultWithdraw(address,address)"
claimOwnership(),"doDeposit(address,bool,uint256)"
renounceOwnership(),"doDeposit(address,bool,uint256)"
bindContract(address),"doDeposit(address,bool,uint256)"
"initialize(address,address,address)","doDeposit(address,bool,uint256)"
"setLimits(uint256,uint256)","doDeposit(address,bool,uint256)"
ownedOwnershipTransferred(),"doDeposit(address,bool,uint256)"
changeOwnershipto(address),"doDeposit(address,bool,uint256)"
transferOwnership(address),"doDeposit(address,bool,uint256)"
claimOwnership(),getDepositInfo(address)
renounceOwnership(),getDepositInfo(address)
bindContract(address),getDepositInfo(address)
"initialize(address,address,address)",getDepositInfo(address)
"setLimits(uint256,uint256)",getDepositInfo(address)
ownedOwnershipTransferred(),getDepositInfo(address)
changeOwnershipto(address),getDepositInfo(address)
transferOwnership(address),getDepositInfo(address)
claimOwnership(),renounceOwnership()
bindContract(address),renounceOwnership()
"initialize(address,address,address)",renounceOwnership()
"setLimits(uint256,uint256)",renounceOwnership()
ownedOwnershipTransferred(),renounceOwnership()
changeOwnershipto(address),renounceOwnership()
transferOwnership(address),renounceOwnership()
claimOwnership(),"getDepositWithdrawList(address,uint256[])"
renounceOwnership(),"getDepositWithdrawList(address,uint256[])"
bindContract(address),"getDepositWithdrawList(address,uint256[])"
"initialize(address,address,address)","getDepositWithdrawList(address,uint256[])"
"setLimits(uint256,uint256)","getDepositWithdrawList(address,uint256[])"
ownedOwnershipTransferred(),"getDepositWithdrawList(address,uint256[])"
changeOwnershipto(address),"getDepositWithdrawList(address,uint256[])"
transferOwnership(address),"getDepositWithdrawList(address,uint256[])"
claimOwnership(),bindContract(address)
renounceOwnership(),bindContract(address)
"initialize(address,address,address)",bindContract(address)
"setLimits(uint256,uint256)",bindContract(address)
ownedOwnershipTransferred(),bindContract(address)
changeOwnershipto(address),bindContract(address)
transferOwnership(address),bindContract(address)
claimOwnership(),destroyDepositContract(address)
renounceOwnership(),destroyDepositContract(address)
bindContract(address),destroyDepositContract(address)
"initialize(address,address,address)",destroyDepositContract(address)
"setLimits(uint256,uint256)",destroyDepositContract(address)
ownedOwnershipTransferred(),destroyDepositContract(address)
changeOwnershipto(address),destroyDepositContract(address)
transferOwnership(address),destroyDepositContract(address)
claimOwnership(),createDepositContract(address)
renounceOwnership(),createDepositContract(address)
bindContract(address),createDepositContract(address)
"initialize(address,address,address)",createDepositContract(address)
"setLimits(uint256,uint256)",createDepositContract(address)
ownedOwnershipTransferred(),createDepositContract(address)
changeOwnershipto(address),createDepositContract(address)
transferOwnership(address),createDepositContract(address)
claimOwnership(),"initialize(address,address,address)"
renounceOwnership(),"initialize(address,address,address)"
bindContract(address),"initialize(address,address,address)"
"setLimits(uint256,uint256)","initialize(address,address,address)"
ownedOwnershipTransferred(),"initialize(address,address,address)"
changeOwnershipto(address),"initialize(address,address,address)"
transferOwnership(address),"initialize(address,address,address)"
claimOwnership(),"setLimits(uint256,uint256)"
renounceOwnership(),"setLimits(uint256,uint256)"
bindContract(address),"setLimits(uint256,uint256)"
"initialize(address,address,address)","setLimits(uint256,uint256)"
ownedOwnershipTransferred(),"setLimits(uint256,uint256)"
changeOwnershipto(address),"setLimits(uint256,uint256)"
transferOwnership(address),"setLimits(uint256,uint256)"
claimOwnership(),destroy(address[])
renounceOwnership(),destroy(address[])
bindContract(address),destroy(address[])
"initialize(address,address,address)",destroy(address[])
"setLimits(uint256,uint256)",destroy(address[])
ownedOwnershipTransferred(),destroy(address[])
changeOwnershipto(address),destroy(address[])
transferOwnership(address),destroy(address[])
claimOwnership(),getDepositAddress(address)
renounceOwnership(),getDepositAddress(address)
bindContract(address),getDepositAddress(address)
"initialize(address,address,address)",getDepositAddress(address)
"setLimits(uint256,uint256)",getDepositAddress(address)
ownedOwnershipTransferred(),getDepositAddress(address)
changeOwnershipto(address),getDepositAddress(address)
transferOwnership(address),getDepositAddress(address)
claimOwnership(),ownedOwnershipTransferred()
renounceOwnership(),ownedOwnershipTransferred()
bindContract(address),ownedOwnershipTransferred()
"initialize(address,address,address)",ownedOwnershipTransferred()
"setLimits(uint256,uint256)",ownedOwnershipTransferred()
changeOwnershipto(address),ownedOwnershipTransferred()
transferOwnership(address),ownedOwnershipTransferred()
claimOwnership(),changeOwnershipto(address)
renounceOwnership(),changeOwnershipto(address)
bindContract(address),changeOwnershipto(address)
"initialize(address,address,address)",changeOwnershipto(address)
"setLimits(uint256,uint256)",changeOwnershipto(address)
ownedOwnershipTransferred(),changeOwnershipto(address)
transferOwnership(address),changeOwnershipto(address)
claimOwnership(),"withdrawWithFee(address,uint256,uint256,bool)"
renounceOwnership(),"withdrawWithFee(address,uint256,uint256,bool)"
bindContract(address),"withdrawWithFee(address,uint256,uint256,bool)"
"initialize(address,address,address)","withdrawWithFee(address,uint256,uint256,bool)"
"setLimits(uint256,uint256)","withdrawWithFee(address,uint256,uint256,bool)"
ownedOwnershipTransferred(),"withdrawWithFee(address,uint256,uint256,bool)"
changeOwnershipto(address),"withdrawWithFee(address,uint256,uint256,bool)"
transferOwnership(address),"withdrawWithFee(address,uint256,uint256,bool)"
claimOwnership(),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
bindContract(address),transferOwnership(address)
"initialize(address,address,address)",transferOwnership(address)
"setLimits(uint256,uint256)",transferOwnership(address)
ownedOwnershipTransferred(),transferOwnership(address)
changeOwnershipto(address),transferOwnership(address)
claimOwnership(),"withdraw(address,uint256)"
renounceOwnership(),"withdraw(address,uint256)"
bindContract(address),"withdraw(address,uint256)"
"initialize(address,address,address)","withdraw(address,uint256)"
"setLimits(uint256,uint256)","withdraw(address,uint256)"
ownedOwnershipTransferred(),"withdraw(address,uint256)"
changeOwnershipto(address),"withdraw(address,uint256)"
transferOwnership(address),"withdraw(address,uint256)"
