Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
ROB(),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
createTokens(),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
createTokens(),ROB()
transferOwnership(address),ROB()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
ROB(),"transfer(address,uint256)"
createTokens(),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)",createTokens()
"transferFrom(address,address,uint256)",createTokens()
"decreaseApproval(address,uint256)",createTokens()
ROB(),createTokens()
"transfer(address,uint256)",createTokens()
"increaseApproval(address,uint256)",createTokens()
transferOwnership(address),createTokens()
