Source Function,Target Function
"resell(address,address,uint256)","addAddressToLockerList(address,string,uint256,uint256)"
burn(uint256),"addAddressToLockerList(address,string,uint256,uint256)"
renounceOwnership(),"addAddressToLockerList(address,string,uint256,uint256)"
"addResellingAmount(address,uint256)","addAddressToLockerList(address,string,uint256,uint256)"
transferOwnership(address),"addAddressToLockerList(address,string,uint256,uint256)"
"transferWithLockUp(address,uint256,uint256,uint256)","addAddressToLockerList(address,string,uint256,uint256)"
"transfer(address,uint256)","addAddressToLockerList(address,string,uint256,uint256)"
burn(uint256),"resell(address,address,uint256)"
renounceOwnership(),"resell(address,address,uint256)"
"addResellingAmount(address,uint256)","resell(address,address,uint256)"
transferOwnership(address),"resell(address,address,uint256)"
"addAddressToLockerList(address,string,uint256,uint256)","resell(address,address,uint256)"
"transferWithLockUp(address,uint256,uint256,uint256)","resell(address,address,uint256)"
"transfer(address,uint256)","resell(address,address,uint256)"
"addAddressToLockerList(address,string,uint256,uint256)",burn(uint256)
"resell(address,address,uint256)",burn(uint256)
"transferWithLockUp(address,uint256,uint256,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"addResellingAmount(address,uint256)",burn(uint256)
"resell(address,address,uint256)",renounceOwnership()
burn(uint256),renounceOwnership()
"addResellingAmount(address,uint256)",renounceOwnership()
transferOwnership(address),renounceOwnership()
"resell(address,address,uint256)","transferWithLockUp(address,uint256,uint256,uint256)"
burn(uint256),"transferWithLockUp(address,uint256,uint256,uint256)"
renounceOwnership(),"transferWithLockUp(address,uint256,uint256,uint256)"
"addResellingAmount(address,uint256)","transferWithLockUp(address,uint256,uint256,uint256)"
transferOwnership(address),"transferWithLockUp(address,uint256,uint256,uint256)"
"addAddressToLockerList(address,string,uint256,uint256)","transferWithLockUp(address,uint256,uint256,uint256)"
"transfer(address,uint256)","transferWithLockUp(address,uint256,uint256,uint256)"
"addAddressToLockerList(address,string,uint256,uint256)","transfer(address,uint256)"
"resell(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"transferWithLockUp(address,uint256,uint256,uint256)","transfer(address,uint256)"
"addResellingAmount(address,uint256)","transfer(address,uint256)"
"resell(address,address,uint256)","addResellingAmount(address,uint256)"
burn(uint256),"addResellingAmount(address,uint256)"
renounceOwnership(),"addResellingAmount(address,uint256)"
transferOwnership(address),"addResellingAmount(address,uint256)"
"addAddressToLockerList(address,string,uint256,uint256)","addResellingAmount(address,uint256)"
"transferWithLockUp(address,uint256,uint256,uint256)","addResellingAmount(address,uint256)"
"transfer(address,uint256)","addResellingAmount(address,uint256)"
"resell(address,address,uint256)",cancelReselling(address)
burn(uint256),cancelReselling(address)
renounceOwnership(),cancelReselling(address)
"addResellingAmount(address,uint256)",cancelReselling(address)
transferOwnership(address),cancelReselling(address)
"addAddressToLockerList(address,string,uint256,uint256)",cancelReselling(address)
"transferWithLockUp(address,uint256,uint256,uint256)",cancelReselling(address)
"transfer(address,uint256)",cancelReselling(address)
"resell(address,address,uint256)",transferOwnership(address)
burn(uint256),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
"addResellingAmount(address,uint256)",transferOwnership(address)
