Source Function,Target Function
updateRndSeed(),distribute(uint256)
"updateStatus(uint256,bool)",distribute(uint256)
"play(uint256,uint256[])",distribute(uint256)
freeLottery(uint256),distribute(uint256)
"setAddr(uint256,address)",distribute(uint256)
transferOwnership(address),distribute(uint256)
updateRndSeed(),getAddr(uint256)
"updateStatus(uint256,bool)",getAddr(uint256)
"play(uint256,uint256[])",getAddr(uint256)
freeLottery(uint256),getAddr(uint256)
"setAddr(uint256,address)",getAddr(uint256)
transferOwnership(address),getAddr(uint256)
"updateLottoParams(uint256,uint256,uint256)",freeLottery(uint256)
"updateStatus(uint256,bool)",freeLottery(uint256)
updateRndSeed(),"setAddr(uint256,address)"
"updateStatus(uint256,bool)","setAddr(uint256,address)"
"play(uint256,uint256[])","setAddr(uint256,address)"
freeLottery(uint256),"setAddr(uint256,address)"
transferOwnership(address),"setAddr(uint256,address)"
updateRndSeed(),transferOwnership(address)
"updateStatus(uint256,bool)",transferOwnership(address)
"play(uint256,uint256[])",transferOwnership(address)
freeLottery(uint256),transferOwnership(address)
"setAddr(uint256,address)",transferOwnership(address)
updateRndSeed(),"withdraw(address,uint256)"
"updateStatus(uint256,bool)","withdraw(address,uint256)"
"play(uint256,uint256[])","withdraw(address,uint256)"
freeLottery(uint256),"withdraw(address,uint256)"
"setAddr(uint256,address)","withdraw(address,uint256)"
transferOwnership(address),"withdraw(address,uint256)"
