Source Function,Target Function
"approve(address,uint256)",removeOwner(address)
"transferFrom(address,address,uint256)",removeOwner(address)
"increaseAllowance(address,uint256)",removeOwner(address)
burn(uint256),removeOwner(address)
addOwner(address),removeOwner(address)
mint(uint256),removeOwner(address)
"decreaseAllowance(address,uint256)",removeOwner(address)
"approveAndCall(address,uint256,bytes)",removeOwner(address)
transferOwnership(address),removeOwner(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
removeOwner(address),"transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
addOwner(address),"transferFrom(address,address,uint256)"
mint(uint256),"transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
removeOwner(address),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"increaseAllowance(address,uint256)",burn(uint256)
addOwner(address),burn(uint256)
mint(uint256),burn(uint256)
"decreaseAllowance(address,uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",addOwner(address)
removeOwner(address),addOwner(address)
"transferFrom(address,address,uint256)",addOwner(address)
"increaseAllowance(address,uint256)",addOwner(address)
burn(uint256),addOwner(address)
mint(uint256),addOwner(address)
"decreaseAllowance(address,uint256)",addOwner(address)
"approveAndCall(address,uint256,bytes)",addOwner(address)
transferOwnership(address),addOwner(address)
"approve(address,uint256)",mint(uint256)
removeOwner(address),mint(uint256)
"transferFrom(address,address,uint256)",mint(uint256)
"increaseAllowance(address,uint256)",mint(uint256)
burn(uint256),mint(uint256)
addOwner(address),mint(uint256)
"decreaseAllowance(address,uint256)",mint(uint256)
"approveAndCall(address,uint256,bytes)",mint(uint256)
transferOwnership(address),mint(uint256)
"approve(address,uint256)",transferOwnership(address)
removeOwner(address),transferOwnership(address)
"transferFrom(address,address,uint256)",transferOwnership(address)
"increaseAllowance(address,uint256)",transferOwnership(address)
burn(uint256),transferOwnership(address)
addOwner(address),transferOwnership(address)
mint(uint256),transferOwnership(address)
"decreaseAllowance(address,uint256)",transferOwnership(address)
"approveAndCall(address,uint256,bytes)",transferOwnership(address)
