Source Function,Target Function
grantFounderToken(),grantPrivatePurchaserToken()
grantAdvisorToken(),grantPrivatePurchaserToken()
"addFoundation(address,uint256,uint256,uint256)",grantPrivatePurchaserToken()
grantBackerToken(),grantPrivatePurchaserToken()
"addBackers(address,uint256,uint256)",grantPrivatePurchaserToken()
"addFounder(address,uint256,uint256)",grantPrivatePurchaserToken()
"addAdvisors(address,uint256,uint256)",grantPrivatePurchaserToken()
grantFoundationToken(),grantPrivatePurchaserToken()
"addPrivatePurchaser(address,uint256,uint256,uint256)",grantPrivatePurchaserToken()
unpause(),grantPrivatePurchaserToken()
pause(),grantPrivatePurchaserToken()
"publicTransferToken(address[],uint256[])",grantPrivatePurchaserToken()
transferOwnership(address),grantPrivatePurchaserToken()
"bountyTransferToken(address[],uint256[])",grantPrivatePurchaserToken()
grantPrivatePurchaserToken(),grantFounderToken()
grantAdvisorToken(),grantFounderToken()
"addFoundation(address,uint256,uint256,uint256)",grantFounderToken()
grantBackerToken(),grantFounderToken()
"addBackers(address,uint256,uint256)",grantFounderToken()
"addFounder(address,uint256,uint256)",grantFounderToken()
"addAdvisors(address,uint256,uint256)",grantFounderToken()
grantFoundationToken(),grantFounderToken()
"addPrivatePurchaser(address,uint256,uint256,uint256)",grantFounderToken()
unpause(),grantFounderToken()
pause(),grantFounderToken()
"publicTransferToken(address[],uint256[])",grantFounderToken()
transferOwnership(address),grantFounderToken()
"bountyTransferToken(address[],uint256[])",grantFounderToken()
grantPrivatePurchaserToken(),grantAdvisorToken()
grantFounderToken(),grantAdvisorToken()
"addFoundation(address,uint256,uint256,uint256)",grantAdvisorToken()
grantBackerToken(),grantAdvisorToken()
"addBackers(address,uint256,uint256)",grantAdvisorToken()
"addFounder(address,uint256,uint256)",grantAdvisorToken()
"addAdvisors(address,uint256,uint256)",grantAdvisorToken()
grantFoundationToken(),grantAdvisorToken()
"addPrivatePurchaser(address,uint256,uint256,uint256)",grantAdvisorToken()
unpause(),grantAdvisorToken()
pause(),grantAdvisorToken()
"publicTransferToken(address[],uint256[])",grantAdvisorToken()
transferOwnership(address),grantAdvisorToken()
"bountyTransferToken(address[],uint256[])",grantAdvisorToken()
grantPrivatePurchaserToken(),grantBackerToken()
grantFounderToken(),grantBackerToken()
grantAdvisorToken(),grantBackerToken()
"addFoundation(address,uint256,uint256,uint256)",grantBackerToken()
"addBackers(address,uint256,uint256)",grantBackerToken()
"addFounder(address,uint256,uint256)",grantBackerToken()
"addAdvisors(address,uint256,uint256)",grantBackerToken()
grantFoundationToken(),grantBackerToken()
"addPrivatePurchaser(address,uint256,uint256,uint256)",grantBackerToken()
unpause(),grantBackerToken()
pause(),grantBackerToken()
"publicTransferToken(address[],uint256[])",grantBackerToken()
transferOwnership(address),grantBackerToken()
"bountyTransferToken(address[],uint256[])",grantBackerToken()
grantPrivatePurchaserToken(),grantFoundationToken()
grantFounderToken(),grantFoundationToken()
grantAdvisorToken(),grantFoundationToken()
"addFoundation(address,uint256,uint256,uint256)",grantFoundationToken()
grantBackerToken(),grantFoundationToken()
"addBackers(address,uint256,uint256)",grantFoundationToken()
"addFounder(address,uint256,uint256)",grantFoundationToken()
"addAdvisors(address,uint256,uint256)",grantFoundationToken()
"addPrivatePurchaser(address,uint256,uint256,uint256)",grantFoundationToken()
unpause(),grantFoundationToken()
pause(),grantFoundationToken()
"publicTransferToken(address[],uint256[])",grantFoundationToken()
transferOwnership(address),grantFoundationToken()
"bountyTransferToken(address[],uint256[])",grantFoundationToken()
