Source Function,Target Function
removeDeposit(address),"withdrawToken(address,address,uint256)"
"addDeposit(address,address)","withdrawToken(address,address,uint256)"
claimOwnership(),"withdrawToken(address,address,uint256)"
renounceOwnership(),"withdrawToken(address,address,uint256)"
transferOwnership(address),"withdrawToken(address,address,uint256)"
"addDeposit(address,address)",removeDeposit(address)
claimOwnership(),removeDeposit(address)
renounceOwnership(),removeDeposit(address)
transferOwnership(address),removeDeposit(address)
removeDeposit(address),"freezeTokens(address,bool,uint256)"
"addDeposit(address,address)","freezeTokens(address,bool,uint256)"
claimOwnership(),"freezeTokens(address,bool,uint256)"
renounceOwnership(),"freezeTokens(address,bool,uint256)"
transferOwnership(address),"freezeTokens(address,bool,uint256)"
removeDeposit(address),"addDeposit(address,address)"
claimOwnership(),"addDeposit(address,address)"
renounceOwnership(),"addDeposit(address,address)"
transferOwnership(address),"addDeposit(address,address)"
removeDeposit(address),"increaseBalance(address,uint256)"
"addDeposit(address,address)","increaseBalance(address,uint256)"
claimOwnership(),"increaseBalance(address,uint256)"
renounceOwnership(),"increaseBalance(address,uint256)"
transferOwnership(address),"increaseBalance(address,uint256)"
removeDeposit(address),renounceOwnership()
"addDeposit(address,address)",renounceOwnership()
claimOwnership(),renounceOwnership()
transferOwnership(address),renounceOwnership()
removeDeposit(address),"addWithdraw(address,bytes32,address)"
"addDeposit(address,address)","addWithdraw(address,bytes32,address)"
claimOwnership(),"addWithdraw(address,bytes32,address)"
renounceOwnership(),"addWithdraw(address,bytes32,address)"
transferOwnership(address),"addWithdraw(address,bytes32,address)"
removeDeposit(address),"changeDefaultWallet(address,address)"
"addDeposit(address,address)","changeDefaultWallet(address,address)"
claimOwnership(),"changeDefaultWallet(address,address)"
renounceOwnership(),"changeDefaultWallet(address,address)"
transferOwnership(address),"changeDefaultWallet(address,address)"
removeDeposit(address),"changeWalletName(address,bytes32,address)"
"addDeposit(address,address)","changeWalletName(address,bytes32,address)"
claimOwnership(),"changeWalletName(address,bytes32,address)"
renounceOwnership(),"changeWalletName(address,bytes32,address)"
transferOwnership(address),"changeWalletName(address,bytes32,address)"
removeDeposit(address),transferOwnership(address)
"addDeposit(address,address)",transferOwnership(address)
claimOwnership(),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
removeDeposit(address),"withdraw(address,uint256)"
"addDeposit(address,address)","withdraw(address,uint256)"
claimOwnership(),"withdraw(address,uint256)"
renounceOwnership(),"withdraw(address,uint256)"
transferOwnership(address),"withdraw(address,uint256)"
removeDeposit(address),"decreaseBalance(address,uint256)"
"addDeposit(address,address)","decreaseBalance(address,uint256)"
claimOwnership(),"decreaseBalance(address,uint256)"
renounceOwnership(),"decreaseBalance(address,uint256)"
transferOwnership(address),"decreaseBalance(address,uint256)"
