Source Function,Target Function
burn(uint256),setCrowdsaleAddress(address)
enableTransfers(),setCrowdsaleAddress(address)
transferOwnership(address),setCrowdsaleAddress(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
setCrowdsaleAddress(address),burn(uint256)
enableTransfers(),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
setCrowdsaleAddress(address),enableTransfers()
burn(uint256),enableTransfers()
transferOwnership(address),enableTransfers()
setCrowdsaleAddress(address),transferOwnership(address)
burn(uint256),transferOwnership(address)
enableTransfers(),transferOwnership(address)
