Source Function,Target Function
"createSaleAuction(uint256,uint256,uint256,uint256)","approve(address,uint256)"
"mintTemplate(uint256,uint256,uint256,uint256,string)","approve(address,uint256)"
"setApprovalForAll(address,bool)","approve(address,uint256)"
"mintCards(uint256[],address)","approve(address,uint256)"
"mintCard(uint256,address)","approve(address,uint256)"
"approve(address,uint256)","createSaleAuction(uint256,uint256,uint256,uint256)"
"mintTemplate(uint256,uint256,uint256,uint256,string)","createSaleAuction(uint256,uint256,uint256,uint256)"
"setApprovalForAll(address,bool)","createSaleAuction(uint256,uint256,uint256,uint256)"
"mintCards(uint256[],address)","createSaleAuction(uint256,uint256,uint256,uint256)"
"mintCard(uint256,address)","createSaleAuction(uint256,uint256,uint256,uint256)"
"approve(address,uint256)",ownerOf(uint256)
"createSaleAuction(uint256,uint256,uint256,uint256)",ownerOf(uint256)
"mintTemplate(uint256,uint256,uint256,uint256,string)",ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
"mintCards(uint256[],address)",ownerOf(uint256)
"mintCard(uint256,address)",ownerOf(uint256)
"mintTemplate(uint256,uint256,uint256,uint256,string)","mintCards(uint256[],address)"
renounceOwnership(),"mintCards(uint256[],address)"
setSaleAuction(address),"mintCards(uint256[],address)"
"mintCard(uint256,address)","mintCards(uint256[],address)"
transferOwnership(address),"mintCards(uint256[],address)"
setMinter(address),"mintCards(uint256[],address)"
"approve(address,uint256)","mintCards(uint256[],address)"
"createSaleAuction(uint256,uint256,uint256,uint256)","mintCards(uint256[],address)"
"setApprovalForAll(address,bool)","mintCards(uint256[],address)"
"mintTemplate(uint256,uint256,uint256,uint256,string)","mintCard(uint256,address)"
renounceOwnership(),"mintCard(uint256,address)"
"mintCards(uint256[],address)","mintCard(uint256,address)"
setSaleAuction(address),"mintCard(uint256,address)"
transferOwnership(address),"mintCard(uint256,address)"
setMinter(address),"mintCard(uint256,address)"
"approve(address,uint256)","mintCard(uint256,address)"
"createSaleAuction(uint256,uint256,uint256,uint256)","mintCard(uint256,address)"
"setApprovalForAll(address,bool)","mintCard(uint256,address)"
