Source Function,Target Function
stopICO(),receiveApproval()
transferOwnership(address),receiveApproval()
receiveApproval(),collectRefund()
stopICO(),collectRefund()
transferOwnership(address),collectRefund()
receiveApproval(),collectInvestment()
stopICO(),collectInvestment()
transferOwnership(address),collectInvestment()
receiveApproval(),stopICO()
transferOwnership(address),stopICO()
receiveApproval(),collectCommission()
stopICO(),collectCommission()
transferOwnership(address),collectCommission()
receiveApproval(),buyTokens()
stopICO(),buyTokens()
transferOwnership(address),buyTokens()
receiveApproval(),transferOwnership(address)
stopICO(),transferOwnership(address)
