Source Function,Target Function
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
finishMinting(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
enableTransfer(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
finishMinting(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
enableTransfer(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)",unpause()
finishMinting(),unpause()
pause(),unpause()
enableTransfer(),unpause()
transferOwnership(address),unpause()
unpause(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
enableTransfer(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
pause(),finishMinting()
enableTransfer(),finishMinting()
transferOwnership(address),finishMinting()
unpause(),pause()
"mint(address,uint256)",pause()
finishMinting(),pause()
enableTransfer(),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
finishMinting(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
enableTransfer(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
unpause(),enableTransfer()
"mint(address,uint256)",enableTransfer()
finishMinting(),enableTransfer()
pause(),enableTransfer()
transferOwnership(address),enableTransfer()
unpause(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
enableTransfer(),transferOwnership(address)
