Source Function,Target Function
"mint(address,uint256)","approve(address,uint256)"
finalize(),"approve(address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
finalize(),"transferFrom(address,address,uint256)"
finalize(),"mint(address,uint256)"
"mint(address,uint256)",finalize()
"mint(address,uint256)","decreaseApproval(address,uint256)"
finalize(),"decreaseApproval(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
"mint(address,uint256)","burnFrom(address,uint256)"
"decreaseApproval(address,uint256)","burnFrom(address,uint256)"
"increaseApproval(address,uint256)","burnFrom(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
finalize(),"transfer(address,uint256)"
"mint(address,uint256)","increaseApproval(address,uint256)"
finalize(),"increaseApproval(address,uint256)"
