Source Function,Target Function
unpause(),"approve(address,uint256)"
"sell(address,uint256)","approve(address,uint256)"
pause(),"approve(address,uint256)"
setIcoContract(address),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"sell(address,uint256)",unpause()
pause(),unpause()
setIcoContract(address),unpause()
transferOwnership(address),unpause()
unpause(),"sell(address,uint256)"
pause(),"sell(address,uint256)"
setIcoContract(address),"sell(address,uint256)"
transferOwnership(address),"sell(address,uint256)"
unpause(),pause()
"sell(address,uint256)",pause()
setIcoContract(address),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
"sell(address,uint256)","transfer(address,uint256)"
pause(),"transfer(address,uint256)"
setIcoContract(address),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
unpause(),setIcoContract(address)
"sell(address,uint256)",setIcoContract(address)
pause(),setIcoContract(address)
transferOwnership(address),setIcoContract(address)
unpause(),transferOwnership(address)
"sell(address,uint256)",transferOwnership(address)
pause(),transferOwnership(address)
setIcoContract(address),transferOwnership(address)
