Source Function,Target Function
"setBylawUint256(bytes32,uint256)",initializeAssetsToThisApplication()
"setBylawBytes32(bytes32,bytes32)",initializeAssetsToThisApplication()
"setBylawUint256(bytes32,uint256)",transferAssetsToNewApplication(address)
"setBylawBytes32(bytes32,bytes32)",transferAssetsToNewApplication(address)
"linkToGateway(address,bytes32)",doStateChanges()
addAssetMeetings(address),doStateChanges()
addAssetProposals(address),doStateChanges()
initialize(),doStateChanges()
addAssetBountyManager(address),doStateChanges()
addAssetNewsContract(address),doStateChanges()
addAssetTokenManager(address),doStateChanges()
addAssetFunding(address),doStateChanges()
setUpgradeState(uint8),doStateChanges()
addAssetMilestones(address),doStateChanges()
addAssetListingContract(address),doStateChanges()
addAssetFundingManager(address),doStateChanges()
lock(),doStateChanges()
