Source Function,Target Function
setTransfersEnabled(bool),changeBridge(address)
renounceOwnership(),changeBridge(address)
transferOwnership(address),changeBridge(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
removeAddressesFromWhitelist(address[]),"transferFrom(address,address,uint256)"
removeAddressFromWhitelist(address),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addAddressToWhitelist(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addAddressesToWhitelist(address[]),"transferFrom(address,address,uint256)"
changeBridge(address),removeAddressesFromWhitelist(address[])
setTransfersEnabled(bool),removeAddressesFromWhitelist(address[])
renounceOwnership(),removeAddressesFromWhitelist(address[])
transferOwnership(address),removeAddressesFromWhitelist(address[])
changeBridge(address),setTransfersEnabled(bool)
renounceOwnership(),setTransfersEnabled(bool)
transferOwnership(address),setTransfersEnabled(bool)
changeBridge(address),removeAddressFromWhitelist(address)
setTransfersEnabled(bool),removeAddressFromWhitelist(address)
renounceOwnership(),removeAddressFromWhitelist(address)
transferOwnership(address),removeAddressFromWhitelist(address)
changeBridge(address),renounceOwnership()
setTransfersEnabled(bool),renounceOwnership()
transferOwnership(address),renounceOwnership()
changeBridge(address),addAddressToWhitelist(address)
setTransfersEnabled(bool),addAddressToWhitelist(address)
renounceOwnership(),addAddressToWhitelist(address)
transferOwnership(address),addAddressToWhitelist(address)
changeBridge(address),reclaimEther()
setTransfersEnabled(bool),reclaimEther()
renounceOwnership(),reclaimEther()
transferOwnership(address),reclaimEther()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
removeAddressesFromWhitelist(address[]),"transfer(address,uint256)"
removeAddressFromWhitelist(address),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
addAddressToWhitelist(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
addAddressesToWhitelist(address[]),"transfer(address,uint256)"
changeBridge(address),addAddressesToWhitelist(address[])
setTransfersEnabled(bool),addAddressesToWhitelist(address[])
renounceOwnership(),addAddressesToWhitelist(address[])
transferOwnership(address),addAddressesToWhitelist(address[])
changeBridge(address),transferOwnership(address)
setTransfersEnabled(bool),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
