Source Function,Target Function
"mint(address,uint32)","defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
setRequiredGoldIncreaseFactor(uint256),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
transferOwnership(address),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
setGoldContract(address),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
unpause(),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
claimOwnership(),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
setRequiredExpIncreaseFactor(uint32),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
pause(),"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])"
"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])","transfer(address,uint256)"
"mint(address,uint32)","transfer(address,uint256)"
revokeAccessDeploy(address),"transfer(address,uint256)"
revokeAccessDeposit(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
levelUp(uint256),"transfer(address,uint256)"
"addExp(uint256,uint32)","transfer(address,uint256)"
transferDeposit(uint256),"transfer(address,uint256)"
"deploy(uint256,uint32,uint256)","transfer(address,uint256)"
"addDeposit(address,uint256)","transfer(address,uint256)"
withdrawDeposit(uint256),"transfer(address,uint256)"
grantAccessDeploy(address),"transfer(address,uint256)"
grantAccessDeposit(address),"transfer(address,uint256)"
"setHeroName(uint256,string)","transfer(address,uint256)"
revokeAccessMint(address),"transfer(address,uint256)"
grantAccessMint(address),"transfer(address,uint256)"
"defineType(string,uint8,uint8,uint32,uint8,uint32,uint8,uint32[5],uint32[5],uint32[5])",takeOwnership(uint256)
"mint(address,uint32)",takeOwnership(uint256)
revokeAccessDeploy(address),takeOwnership(uint256)
revokeAccessDeposit(address),takeOwnership(uint256)
"approve(address,uint256)",takeOwnership(uint256)
levelUp(uint256),takeOwnership(uint256)
