Source Function,Target Function
unpause(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"checkAddressTransfer(address,uint256,address)"
pause(),"checkAddressTransfer(address,uint256,address)"
transferOwnership(address),"checkAddressTransfer(address,uint256,address)"
"approve(address,uint256)","checkAddressTransfer(address,uint256,address)"
"transferFrom(address,address,uint256)","checkAddressTransfer(address,uint256,address)"
"decreaseApproval(address,uint256)","checkAddressTransfer(address,uint256,address)"
"transfer(address,uint256)","checkAddressTransfer(address,uint256,address)"
"increaseApproval(address,uint256)","checkAddressTransfer(address,uint256,address)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"checkAddressTransfer(address,uint256,address)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
pause(),unpause()
transferOwnership(address),unpause()
unpause(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
unpause(),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"checkAddressTransfer(address,uint256,address)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
