Source Function,Target Function
disableTokenTrade(address),removeAlerter(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",removeAlerter(address)
enableTokenTrade(address),removeAlerter(address)
addAlerter(address),removeAlerter(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",removeAlerter(address)
addOperator(address),removeAlerter(address)
removeOperator(address),removeAlerter(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",removeAlerter(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",removeAlerter(address)
"recordImbalance(address,int256,uint256,uint256)",removeAlerter(address)
addToken(address),removeAlerter(address)
removeAlerter(address),disableTokenTrade(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",disableTokenTrade(address)
enableTokenTrade(address),disableTokenTrade(address)
addAlerter(address),disableTokenTrade(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",disableTokenTrade(address)
addOperator(address),disableTokenTrade(address)
removeOperator(address),disableTokenTrade(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",disableTokenTrade(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",disableTokenTrade(address)
"recordImbalance(address,int256,uint256,uint256)",disableTokenTrade(address)
addToken(address),disableTokenTrade(address)
removeAlerter(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
disableTokenTrade(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
enableTokenTrade(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
addAlerter(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])","setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
addOperator(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
removeOperator(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])","setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
"setTokenControlInfo(address,uint256,uint256,uint256)","setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
"recordImbalance(address,int256,uint256,uint256)","setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
addToken(address),"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])"
removeAlerter(address),enableTokenTrade(address)
disableTokenTrade(address),enableTokenTrade(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",enableTokenTrade(address)
addAlerter(address),enableTokenTrade(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",enableTokenTrade(address)
addOperator(address),enableTokenTrade(address)
removeOperator(address),enableTokenTrade(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",enableTokenTrade(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",enableTokenTrade(address)
"recordImbalance(address,int256,uint256,uint256)",enableTokenTrade(address)
addToken(address),enableTokenTrade(address)
removeAlerter(address),addAlerter(address)
disableTokenTrade(address),addAlerter(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",addAlerter(address)
enableTokenTrade(address),addAlerter(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",addAlerter(address)
addOperator(address),addAlerter(address)
removeOperator(address),addAlerter(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",addAlerter(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",addAlerter(address)
"recordImbalance(address,int256,uint256,uint256)",addAlerter(address)
addToken(address),addAlerter(address)
removeAlerter(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
disableTokenTrade(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])","setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
enableTokenTrade(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
addAlerter(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
addOperator(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
removeOperator(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])","setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
"setTokenControlInfo(address,uint256,uint256,uint256)","setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
"recordImbalance(address,int256,uint256,uint256)","setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
addToken(address),"setQtyStepFunction(address,int256[],int256[],int256[],int256[])"
removeAlerter(address),addOperator(address)
disableTokenTrade(address),addOperator(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",addOperator(address)
enableTokenTrade(address),addOperator(address)
addAlerter(address),addOperator(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",addOperator(address)
removeOperator(address),addOperator(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",addOperator(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",addOperator(address)
"recordImbalance(address,int256,uint256,uint256)",addOperator(address)
addToken(address),addOperator(address)
removeAlerter(address),removeOperator(address)
disableTokenTrade(address),removeOperator(address)
"setBaseRate(address[],uint256[],uint256[],bytes14[],bytes14[],uint256,uint256[])",removeOperator(address)
enableTokenTrade(address),removeOperator(address)
addAlerter(address),removeOperator(address)
"setQtyStepFunction(address,int256[],int256[],int256[],int256[])",removeOperator(address)
addOperator(address),removeOperator(address)
"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])",removeOperator(address)
"setTokenControlInfo(address,uint256,uint256,uint256)",removeOperator(address)
"recordImbalance(address,int256,uint256,uint256)",removeOperator(address)
addToken(address),removeOperator(address)
removeAlerter(address),"setImbalanceStepFunction(address,int256[],int256[],int256[],int256[])"
