Source Function,Target Function
"refundAdvertiser(address,uint256)",cancelMigration()
suicideContract(),cancelMigration()
setBitwordsWithdrawlAddress(address),cancelMigration()
approveMigration(uint256),cancelMigration()
"chargeAdvertisers(address[],uint256[],address[],uint256[])",cancelMigration()
processRefunds(),cancelMigration()
requestForRefund(uint256),cancelMigration()
requestForMigration(address),cancelMigration()
setBitwordsCut(uint256),cancelMigration()
setRefundTimelock(uint256),cancelMigration()
transferOwnership(address),cancelMigration()
processMyRefund(),"refundAdvertiser(address,uint256)"
"setPublisherCut(address,uint256)","refundAdvertiser(address,uint256)"
"chargeAdvertisers(address[],uint256[],address[],uint256[])","refundAdvertiser(address,uint256)"
creditAdvertiser(address),"refundAdvertiser(address,uint256)"
processRefunds(),"refundAdvertiser(address,uint256)"
requestForRefund(uint256),"refundAdvertiser(address,uint256)"
transferOwnership(address),"refundAdvertiser(address,uint256)"
"refundAdvertiser(address,uint256)",suicideContract()
processMyRefund(),suicideContract()
"setPublisherCut(address,uint256)",suicideContract()
"chargeAdvertisers(address[],uint256[],address[],uint256[])",suicideContract()
creditAdvertiser(address),suicideContract()
processRefunds(),suicideContract()
requestForRefund(uint256),suicideContract()
transferOwnership(address),suicideContract()
cancelMigration(),invalidateAdvertiserRefund(uint256)
"refundAdvertiser(address,uint256)",invalidateAdvertiserRefund(uint256)
suicideContract(),invalidateAdvertiserRefund(uint256)
setBitwordsWithdrawlAddress(address),invalidateAdvertiserRefund(uint256)
approveMigration(uint256),invalidateAdvertiserRefund(uint256)
"chargeAdvertisers(address[],uint256[],address[],uint256[])",invalidateAdvertiserRefund(uint256)
processRefunds(),invalidateAdvertiserRefund(uint256)
requestForRefund(uint256),invalidateAdvertiserRefund(uint256)
requestForMigration(address),invalidateAdvertiserRefund(uint256)
setBitwordsCut(uint256),invalidateAdvertiserRefund(uint256)
setRefundTimelock(uint256),invalidateAdvertiserRefund(uint256)
transferOwnership(address),invalidateAdvertiserRefund(uint256)
"refundAdvertiser(address,uint256)",processMyRefund()
"setPublisherCut(address,uint256)",processMyRefund()
"chargeAdvertisers(address[],uint256[],address[],uint256[])",processMyRefund()
creditAdvertiser(address),processMyRefund()
processRefunds(),processMyRefund()
requestForRefund(uint256),processMyRefund()
