Source Function,Target Function
setTransferable(uint256),transferOwnership(address)
setURI(string),transferOwnership(address)
bulkTransferable(uint256[]),transferOwnership(address)
updateStorage(address),transferOwnership(address)
acceptOwnership(),transferOwnership(address)
addController(address),transferOwnership(address)
setProxyRegistryAddress(address),transferOwnership(address)
removeTransferable(uint256),transferOwnership(address)
bulkRemoveTransferable(uint256[]),transferOwnership(address)
transferOwnership(address),removeController(address)
setTransferable(uint256),removeController(address)
setURI(string),removeController(address)
bulkTransferable(uint256[]),removeController(address)
updateStorage(address),removeController(address)
acceptOwnership(),removeController(address)
addController(address),removeController(address)
setProxyRegistryAddress(address),removeController(address)
removeTransferable(uint256),removeController(address)
bulkRemoveTransferable(uint256[]),removeController(address)
"approve(address,uint256)",setTransferable(uint256)
"setApprovalForAll(address,bool)",setTransferable(uint256)
"bulk(uint256[],uint256[],address[])",setTransferable(uint256)
"setApprovalForAll(address,bool)","approve(address,uint256)"
"bulk(uint256[],uint256[],address[])","approve(address,uint256)"
"approve(address,uint256)","updateAttributes(uint256,uint256,uint256[])"
"setApprovalForAll(address,bool)","updateAttributes(uint256,uint256,uint256[])"
"bulk(uint256[],uint256[],address[])","updateAttributes(uint256,uint256,uint256[])"
"approve(address,uint256)",bulkTransferable(uint256[])
"setApprovalForAll(address,bool)",bulkTransferable(uint256[])
"bulk(uint256[],uint256[],address[])",bulkTransferable(uint256[])
"approve(address,uint256)",ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
"bulk(uint256[],uint256[],address[])",ownerOf(uint256)
transferOwnership(address),addController(address)
setTransferable(uint256),addController(address)
setURI(string),addController(address)
bulkTransferable(uint256[]),addController(address)
updateStorage(address),addController(address)
acceptOwnership(),addController(address)
setProxyRegistryAddress(address),addController(address)
removeTransferable(uint256),addController(address)
bulkRemoveTransferable(uint256[]),addController(address)
transferOwnership(address),getControllers()
setTransferable(uint256),getControllers()
setURI(string),getControllers()
bulkTransferable(uint256[]),getControllers()
updateStorage(address),getControllers()
acceptOwnership(),getControllers()
addController(address),getControllers()
setProxyRegistryAddress(address),getControllers()
removeTransferable(uint256),getControllers()
bulkRemoveTransferable(uint256[]),getControllers()
"approve(address,uint256)",removeTransferable(uint256)
"setApprovalForAll(address,bool)",removeTransferable(uint256)
"bulk(uint256[],uint256[],address[])",removeTransferable(uint256)
"approve(address,uint256)",bulkRemoveTransferable(uint256[])
"setApprovalForAll(address,bool)",bulkRemoveTransferable(uint256[])
"bulk(uint256[],uint256[],address[])",bulkRemoveTransferable(uint256[])
